 User_ID 	Br_Area 	Br_ DArea	Rb_Area 	Rb_ DArea	Sr_Area 	Sr_ DArea	Zr_Area 	Zr_ DArea	Ru_Area 	Ru_ DArea	Rh_Area 	Rh_ DArea	Mg_Area 	Mg_ DArea	Al_Area 	Al_ DArea	Si_Area 	Si_ DArea	S_Area 	S_ DArea	K_Area 	K_ DArea	Ca_Area 	Ca_ DArea	Ti_Area 	Ti_ DArea	Fe_Area 	Fe_ DArea
1694	1323	41	783	45	25658	168	3346	176	13105	229	15367	241	157	18	1643	46	17100	134	2558	68	9334	120	267974	523	3434	83	27866	187
1695	1347	41	874	46	26453	171	3107	177	13171	230	15033	240	163	17	1627	45	16142	131	2116	66	9092	120	279071	534	3516	82	23871	176
1696	1381	42	915	46	26754	171	2888	175	12745	228	15431	241	129	16	1548	44	15720	129	2312	67	9024	120	279988	535	3442	82	23981	176
1697	1341	41	865	46	26299	170	2655	173	13030	228	15106	240	149	17	1589	45	15770	129	2205	65	9039	119	280471	535	3302	82	23696	176
1698	1419	42	797	44	25166	166	2728	107	12765	219	14609	233	145	17	1478	43	14887	125	2334	66	8545	115	261518	517	3110	80	23428	174
1699	1366	41	839	45	25498	168	2850	173	12927	228	15422	240	114	16	1440	43	15060	126	1990	64	8667	117	262027	518	3127	80	23462	174
1700	1301	41	846	45	26327	170	2694	170	13003	228	15407	241	114	16	1596	45	16663	133	2148	65	9065	120	278861	534	3192	81	25447	180
1701	1359	42	864	46	26547	171	2844	175	12941	229	14928	240	148	16	1485	43	15657	128	2348	66	8667	118	275535	531	3279	81	25658	181
1702	1353	42	819	45	26388	171	2940	177	13023	229	15064	241	123	15	1484	43	15172	126	2136	64	8477	117	270468	526	3122	81	23799	176
1703	1284	41	818	46	25943	169	2856	175	13009	227	15184	239	134	16	1477	43	15309	127	1961	64	8576	117	271416	527	3347	81	22640	172
1704	1255	40	856	45	25678	168	2577	117	13173	222	15148	236	152	15	1414	42	14603	124	2162	65	8438	116	268070	524	3093	80	23150	173
1705	1269	40	885	45	25588	167	2895	172	13276	226	14843	237	112	0	1387	1	14090	4	1855	2	8166	4	263423	16	3018	3	21234	5
1706	1318	41	698	44	25198	167	2485	167	13446	228	14773	238	131	17	1401	42	14625	124	1950	64	8351	116	264999	521	3129	80	22378	171
1707	1253	40	805	44	24861	166	2668	151	13384	225	14810	236	126	15	1349	41	13351	119	2029	63	8090	114	256367	512	2996	80	22728	172
1708	1184	1	824	1	24442	5	2840	3	13396	7	15337	8	124	17	1445	43	14781	125	2181	65	8312	116	255847	512	3175	81	22725	172
1709	1388	42	821	45	25192	167	2983	173	13535	230	15323	240	123	16	1318	41	14035	122	1908	63	8303	115	251673	508	3029	79	22514	172
1710	1299	1	831	1	24276	5	2433	3	12684	7	14908	7	95	15	1306	41	13507	119	2613	67	8011	114	244510	501	3032	78	25043	179
1711	1447	43	916	46	26891	172	3078	176	13370	231	15288	241	137	16	1505	43	15509	128	1943	62	8509	117	270872	526	3302	81	22519	171
1712	1353	1	839	1	26389	5	2932	3	13184	7	15000	8	161	16	1547	43	16062	130	1913	62	8833	118	269212	525	3421	82	22747	172
1713	1310	41	808	45	26012	169	3002	173	13006	226	14540	237	99	15	1354	42	13922	122	1861	62	8203	116	257886	514	3107	80	21291	168
1714	1330	41	890	46	25885	169	2800	152	13165	227	14947	237	127	16	1336	42	13610	120	2237	66	8441	116	257048	513	3287	81	22575	172
1715	1294	41	848	46	25517	168	3093	174	12607	227	15448	239	165	16	1523	43	15764	129	2445	66	8856	118	267797	523	3441	83	27048	185
1716	1358	42	954	46	27679	174	2915	118	13212	225	15501	238	113	16	1428	43	15054	127	2122	65	8570	117	274851	530	3273	82	23894	175
1717	1351	41	811	45	28242	176	2586	176	13096	230	15196	243	158	17	1540	44	15631	129	1885	62	8841	118	294054	548	3210	80	21159	167
1718	1375	42	829	45	28298	176	3282	175	13170	230	15443	242	152	18	1477	44	15298	127	1857	63	8589	117	287897	542	3182	80	21473	168
1719	1339	42	851	45	28114	175	2875	178	12864	230	14987	242	108	16	1509	44	15110	127	1894	64	8321	117	285954	541	3235	82	22761	172
1720	1236	40	837	45	28131	175	3343	121	12911	223	15590	237	135	16	1571	44	15281	127	2020	65	8430	117	285614	540	3139	81	22559	172
1721	1225	40	859	45	26935	172	3089	177	13245	230	15832	242	154	17	1549	44	15211	127	2006	65	8648	117	265433	521	3267	81	24068	175
1722	1441	43	832	45	27946	175	3031	176	13518	231	15497	241	141	16	1576	44	15222	127	1706	61	8708	118	272108	527	3314	81	21859	170
1723	1253	40	874	45	27547	174	3329	155	12928	226	15947	238	136	15	1536	43	15396	127	1925	63	8741	118	276205	531	3384	81	23369	174
1724	1249	40	751	45	27459	174	2563	173	12983	227	15444	240	133	17	1413	43	15040	126	2182	65	8327	116	282715	537	3404	81	24989	179
1725	1301	41	790	45	27906	175	2776	155	13745	228	16132	241	121	16	1416	43	14610	125	2077	65	8237	116	286214	541	3199	81	22905	173
1726	1289	41	801	45	26436	170	2984	176	13677	231	15563	242	163	17	1651	45	16068	130	2334	66	8833	118	262724	519	3561	84	26823	184
1727	1322	41	849	45	27329	173	2872	172	13269	230	15267	241	141	16	1618	45	15952	130	2201	65	8905	119	271152	527	3379	81	24598	178
1728	1380	42	803	46	26312	170	2651	174	12987	229	15071	240	134	17	1509	43	15206	126	2367	66	8715	118	262499	518	3432	82	25866	182
1729	1432	42	831	45	26361	170	3001	177	13492	232	15132	241	153	17	1639	45	16797	133	2204	65	9022	120	267699	523	3614	83	26664	184
1730	1326	41	906	47	27655	174	3240	177	13488	231	15351	242	140	16	1705	46	16487	132	2065	64	8987	120	275113	530	3441	82	25145	180
1731	1329	41	837	45	28443	176	2521	173	12986	228	15002	240	116	16	1580	44	14987	125	2257	65	8641	118	285497	540	3020	80	23159	173
1732	1431	43	819	45	29037	177	2289	118	13720	226	15132	238	133	16	1463	43	14431	123	2304	67	8240	116	283378	538	2991	79	22997	173
1733	1137	39	795	43	24701	165	2150	146	12187	219	14975	232	134	16	1390	41	13567	120	8278	102	7722	113	263076	519	2802	78	31042	196
1734	1275	40	731	45	28497	176	2349	172	13389	230	15042	242	129	16	1442	42	14802	125	2526	68	8346	117	280030	535	2943	78	23276	174
1735	1025	37	835	45	28931	178	2276	176	13517	230	15151	243	111	16	1419	43	14847	125	1880	63	8575	117	282665	537	3136	80	20227	164
1736	1235	39	807	45	28180	176	2686	153	13030	227	14950	239	153	16	1271	40	12987	117	2559	68	7827	114	272803	528	2853	78	22745	171
1737	1028	37	806	45	28771	177	2566	154	13578	227	15545	240	128	16	1557	44	14853	125	1802	62	8329	117	288228	543	2990	78	21265	167
1738	949	36	784	44	29083	178	2666	174	13211	228	15365	241	138	1	1518	1	15416	4	1631	2	8588	4	296564	17	2877	2	19407	5
1739	875	35	772	44	27927	175	2523	173	12853	225	15590	239	106	1	1426	1	14467	4	2343	2	8183	4	280701	17	2851	2	22482	5
1740	983	37	806	44	28756	177	2498	175	13611	228	15713	242	147	16	1538	43	15400	127	1764	61	8529	117	285893	540	2982	79	21007	166
1741	1027	36	875	45	28611	177	2703	154	12639	223	15154	239	149	17	1594	45	16072	130	1672	60	8762	118	285137	540	3085	80	20423	165
1742	948	37	829	45	27831	174	2463	108	13985	222	15770	237	148	1	1497	1	14731	4	2043	2	8246	4	279051	17	2808	2	21908	5
1743	920	36	898	45	25877	168	2340	170	12615	222	14842	236	175	17	1493	43	14994	126	2390	66	8495	116	272228	527	3033	80	24586	178
1744	864	34	814	44	26469	170	2525	171	12897	223	14940	238	126	16	1507	43	15558	128	1831	62	8481	117	272885	528	3055	79	22885	172
1745	874	35	778	43	27440	173	2659	174	13067	225	15302	239	138	16	1518	44	15379	127	1863	63	8532	117	277646	533	2854	78	22363	170
1746	1034	38	828	45	27424	174	2698	173	13498	228	15429	241	109	16	1574	44	15856	129	2167	64	8746	117	281112	536	3059	79	23451	174
1747	1048	37	941	46	27887	174	2684	119	13144	223	15062	238	120	16	1657	46	15360	127	2209	65	8483	116	278040	533	3052	79	22810	172
