Age (ka)	LOG(Ca/K+Ti+Fe)
425.2340126	1.485069384
426.0816231	1.533744404
426.9292335	1.482424433
427.776844	1.461202949
428.6244545	1.423352442
429.4720649	1.378143208
430.3196754	1.454387104
431.1672858	1.390569081
432.0148963	1.361874162
432.8625068	1.379681945
433.7101172	1.464693876
434.6466552	1.44388446
435.6294138	1.508265843
436.6121724	1.512680565
437.594931	1.517662956
438.5776897	1.488691748
439.5604483	1.427958297
440.5432069	1.44787452
441.5259655	1.451688304
442.5087241	1.460374761
443.4914828	1.415742027
444.4742414	1.481836931
445.457	1.483152754
446.4397586	1.479208073
447.4225172	1.513815223
448.4052759	1.494875297
449.3880345	1.535461446
450.3707931	1.568349051
451.3535517	1.496799113
452.3363103	1.558617524
453.319069	1.57648031
454.3018276	1.594686942
455.2845862	1.564636957
456.2673448	1.502971556
457.2501034	1.494485002
458.2328621	1.521581954
459.2156207	1.462797996
460.1983793	1.394231526
461.1811379	1.393441558
462.1638966	1.512536383
463.1466552	1.518100372
464.1294138	1.54040489
465.1121724	1.619641634
466.094931	1.609083628
467.0776897	1.514115153
468.0604483	1.526801589
469.0432069	1.526053108
470.0259655	1.504755829
471.0087241	1.456768169
471.9914828	1.431684781
472.9742414	1.466577431
473.957	1.491263307
474.9397586	1.478727345
475.9225172	1.470229272
476.9052759	1.479623108
477.8880345	1.464695289
478.8707931	1.482165236
479.8535517	1.429972082
480.8363103	1.41878146
481.819069	1.409836296
482.8018276	1.446422057
483.7845862	1.454142889
484.7673448	1.453357496
485.7501034	1.432769419
486.7328621	1.41262066
487.7156207	1.460321608
488.6983793	1.43906553
489.6811379	1.450843533
490.6638966	1.430628431
491.4318125	1.494441439
492.0880625	1.513465537
492.7443125	1.456929984
493.4005625	1.470602253
494.0568125	1.495250349
494.7130625	1.496401667
495.3693125	1.550324968
496.0255625	1.56600923
496.6818125	1.511424839
497.3380625	1.574276091
497.9943125	1.538383072
498.6505625	1.519583545
499.3068125	1.460536452
499.9630625	1.498700493
500.6193125	1.47958366
501.2755625	1.531019593
501.9318125	1.56795303
502.5880625	1.537138421
503.2443125	1.561798053
503.9005625	1.560908537
504.5568125	1.571097914
505.2130625	1.581287291
505.8693125	1.591476668
506.5255625	1.601666044
507.1818125	1.611855421
507.8380625	1.622044798
508.4943125	1.632234175
509.1505625	1.642423551
509.8068125	1.652612928
510.4630625	1.631050126
511.1193125	1.578371223
511.7755625	1.549567815
512.4318125	1.53523044
513.0880625	1.519954696
513.7443125	1.50434986
514.4005625	1.5083852
515.0568125	1.515671011
515.7130625	1.491398293
516.3693125	1.466337849
517.0255625	1.441277404
517.6818125	1.468089663
518.3380625	1.460494331
518.9943125	1.435780222
519.6505625	1.463422644
520.3068125	1.497455405
520.9630625	1.521012688
521.6193125	1.555626105
522.2755625	1.536385265
522.9318125	1.54807023
523.5880625	1.553836475
524.2443125	1.513466158
524.9005625	1.488816325
525.5568125	1.497900391
526.2130625	1.512100569
526.8693125	1.495835228
527.5255625	1.47297154
528.1818125	1.467413292
528.8380625	1.440780621
529.4943125	1.420071513
530.1505625	1.432171013
530.8068125	1.371098161
531.4630625	1.409244598
532.1193125	1.393737189
532.7755625	1.363312221
533.4318125	1.28356693
534.0880625	1.276139955
534.7443125	1.287232402
535.4005625	1.301580324
536.0568125	1.32432772
536.7130625	1.384450949
537.3693125	1.469164135
538.0255625	1.465326634
538.6818125	1.41658811
539.3380625	1.485748231
539.9943125	1.542452814
540.6505625	1.5473758
541.3068125	1.52310594
541.9630625	1.568654277
542.6193125	1.551617946
543.2755625	1.539969966
543.9318125	1.517903829
544.5880625	1.495111582
545.2443125	1.488260307
545.9005625	1.501694083
546.5568125	1.502781145
547.2130625	1.501858715
547.8693125	1.518932605
548.5255625	1.517623823
549.1818125	1.53663252
549.8380625	1.548466312
550.4943125	1.552573671
551.1505625	1.539644192
551.8068125	1.515102703
552.4630625	1.489444289
553.1193125	1.471226341
553.7755625	1.538676221
554.4318125	1.591244064
555.0880625	1.486786898
555.7443125	1.417947702
556.4005625	1.354197675
557.0568125	1.370947085
557.7130625	1.395393399
558.3693125	1.382684508
559.0255625	1.340811397
559.6818125	1.296657203
560.3380625	1.357419109
560.9943125	1.426965769
561.6505625	1.482471247
562.3068125	1.507488578
562.9630625	1.526111912
563.6193125	1.508010526
564.2755625	1.485913947
564.9318125	1.486494323
565.5880625	1.488612628
566.2443125	1.490730933
566.9005625	1.519070959
567.5568125	1.514306859
568.2130625	1.498390024
568.8693125	1.481959933
569.5255625	1.485461134
570.1818125	1.489995064
570.8380625	1.501210534
571.4943125	1.512742762
572.1505625	1.473937285
572.8068125	1.432965383
573.4630625	1.416335934
574.1193125	1.400648639
574.7755625	1.419901564
575.334875	1.440356657
575.8438036	1.434670776
576.3527321	1.4281969
576.8616607	1.453081082
577.3705893	1.478777961
577.8795179	1.494769004
578.3884464	1.448698902
578.897375	1.449815088
579.4063036	1.45178145
579.9152321	1.437167977
580.4241607	1.422331667
580.9330893	1.458103132
581.4420179	1.463165489
581.9509464	1.447296478
582.459875	1.43131795
582.9688036	1.401398938
583.4777321	1.371485723
583.9866607	1.350099471
584.4955893	1.32882284
585.0045179	1.32370561
585.5134464	1.31839628
586.022375	1.295389366
586.5313036	1.273017331
587.0402321	1.293088073
587.5491607	1.313158815
588.0580893	1.333229556
588.5670179	1.353451717
589.0759464	1.380181756
589.584875	1.406528332
590.0938036	1.418027823
590.6027321	1.40127597
591.1116607	1.440441524
591.6205893	1.456299035
592.1295179	1.442748335
592.6384464	1.480893512
593.147375	1.460468614
593.6563036	1.460384558
594.1652321	1.41592554
594.6741607	1.417792481
595.1830893	1.439447829
595.6920179	1.478730735
596.2009464	1.503287595
596.709875	1.533973014
597.2188036	1.547638873
597.7277321	1.559815323
598.2366607	1.548134916
598.7455893	1.53456547
599.2545179	1.494033611
599.7634464	1.50433817
600.272375	1.481906369
