"Data Supplement to: ""A 3 million year index for North African humidity/aridity and the
implication of potential pan-African Humid periods"""															
															
Note: the dust proxy is from Larrasoa–a et al. (2003), rescaled to our chronology. It is
based on magnetic measurements (IRM@0.9 AF 120mT (A/m)) reflecting hematite variations,
which (at this site) reflect aeolian dust fluxes.																													
0	0	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	
								(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)	(ppm)				(see note)		
Site	Hole	Core	Section	Interval_cm	Depth below sfl_m	Splice depth_m	Age_ky	Al	Si	S	K	Ca	Ti	Mn	Fe	Rb	Sr	Zr	Ba	Age_ky	PC1	PC2	Age_ky	ODP 967 Dust proxy	Age_ky	ODP 967 wet-dry index
ODP 967	B	1	1	72	0.72	0.77	4.39	37733	84124	3130	8501	190442	2910	1501	29771	39	978	118	37	4.39	-1.90	-0.21	5.08	0.595	17.5	-0.051
ODP 967	B	1	1	73	0.73	0.78	4.45	48361	99036	3055	9730	131174	4025	1196	39841	49	867	143	48	4.45	0.78	-0.09	5.14	0.602	18	-0.244
ODP 967	B	1	1	74	0.74	0.79	4.51	58030	106909	2969	10378	98161	4940	1105	43635	55	707	160	48	4.51	2.58	-0.17	5.19	0.608	18.5	0.845
ODP 967	B	1	1	75	0.75	0.8	4.57	58454	123592	2644	10874	99490	4806	970	48137	56	577	152	67	4.57	2.96	-0.34	5.25	0.611	19	1.080
ODP 967	B	1	1	76	0.76	0.81	4.62	59937	132502	2424	10725	78755	5086	1008	50418	57	430	146	62	4.62	3.50	-0.22	5.30	0.608	19.5	1.128
ODP 967	B	1	1	77	0.77	0.82	4.68	58441	120715	2729	10568	88963	4860	1139	47094	56	547	152	64	4.68	2.98	-0.17	5.35	0.598	20	1.035
ODP 967	B	1	1	78	0.78	0.83	4.74	58382	124661	2442	10604	86257	5216	1083	47847	56	502	156	43	4.74	3.29	-0.32	5.40	0.582	20.5	0.492
ODP 967	B	1	1	79	0.79	0.84	4.79	55410	105920	2574	9649	110506	4529	1517	42975	51	626	153	50	4.79	1.86	-0.22	5.45	0.565	21	-0.068
ODP 967	B	1	1	80	0.8	0.85	4.85	48452	102046	3000	9494	118062	4101	1261	41462	49	735	137	60	4.85	1.04	0.15	5.51	0.55	21.5	0.169
ODP 967	B	1	1	81	0.81	0.86	4.91	55326	111321	3069	10263	108451	4529	1074	45823	53	653	148	58	4.91	2.18	-0.11	5.56	0.545	22	0.541
ODP 967	B	1	1	82	0.82	0.87	4.96	52014	116389	2684	10177	102998	4642	1057	45608	53	647	144	50	4.96	2.16	-0.10	5.61	0.548	22.5	0.928
ODP 967	B	1	1	83	0.83	0.88	5.02	61322	122816	3084	11095	79573	5098	1190	52492	60	517	159	89	5.02	3.69	-0.12	5.66	0.556	23	1.134
ODP 967	B	1	1	84	0.84	0.89	5.08	58061	127424	2145	10729	89430	4906	1598	49418	56	461	157	50	5.08	3.16	-0.53	5.72	0.562	23.5	1.030
ODP 967	B	1	1	89	0.89	0.9375	5.35	65171	146286	2861	12109	59674	5705	1087	64592	64	318	157	58	5.35	5.21	-0.42	5.77	0.557	24	0.782
ODP 967	B	1	1	91	0.91	0.95583	5.45	64229	139408	3042	11673	65465	5625	878	57348	62	394	163	77	5.45	4.76	-0.29	5.82	0.534	24.5	0.505
ODP 967	B	1	1	92	0.92	0.965	5.51	66158	142417	3108	12300	68256	5415	1009	59532	65	416	155	100	5.51	4.83	-0.38	5.87	0.491	25	0.009
ODP 967	B	1	1	93	0.93	0.97417	5.56	63753	140366	3237	12133	71778	5470	1024	55233	63	480	155	62	5.56	4.46	-0.49	5.92	0.433	25.5	-0.633
ODP 967	B	1	1	94	0.94	0.98333	5.61	60938	136285	3065	12108	81139	5318	1066	51420	62	550	161	61	5.61	4.06	-0.59	5.97	0.375	26	-1.210
ODP 967	B	1	1	95	0.95	0.9925	5.66	62256	124356	2765	11530	89304	5415	1107	44200	61	578	167	53	5.66	3.67	-0.64	6.02	0.323	26.5	-1.699
ODP 967	B	1	1	96	0.96	1.00167	5.72	61233	119037	2355	10721	99396	5295	1285	40578	58	554	169	37	5.72	3.13	-0.72	6.07	0.278	27	-2.310
ODP 967	B	1	1	99	0.99	1.02889	5.87	52821	105760	2465	9214	108435	4702	1316	36383	50	618	147	29	5.87	1.56	-0.15	6.17	0.242	27.5	-3.529
ODP 967	B	1	1	100	1	1.03778	5.92	44192	87452	3116	8688	147876	3798	1434	30343	44	899	141	39	5.92	-0.35	-0.05	6.30	0.213	28	-3.992
ODP 967	B	1	1	101	1.01	1.04667	5.97	34550	77116	3336	8096	211365	2598	1623	26139	36	1050	115	43	5.97	-2.75	-0.25	6.44	0.19	28.5	-2.651
ODP 967	B	1	1	102	1.02	1.05556	6.02	36815	80683	3540	8303	208553	2694	1454	29377	37	976	117	40	6.02	-2.31	-0.24	6.57	0.172	29	-2.352
ODP 967	B	1	1	103	1.03	1.06444	6.07	36664	82332	4139	8942	190158	2756	1652	34002	40	898	114	60	6.07	-1.77	0.04	6.76	0.163	29.5	-2.312
ODP 967	B	1	1	104	1.04	1.07333	6.17	34748	76061	4799	8364	183560	2678	1775	33879	39	903	114	98	6.17	-1.99	0.50	6.94	0.163	30	-1.858
ODP 967	B	1	1	105	1.05	1.08222	6.30	37437	75238	4989	8387	167375	2770	1569	33445	41	831	117	125	6.30	-1.50	0.82	7.12	0.175	30.5	-1.917
ODP 967	B	1	1	106	1.06	1.09111	6.44	36829	73999	5120	8485	165967	2672	1712	31626	40	816	116	171	6.44	-1.60	0.96	7.31	0.188	31	-1.882
ODP 967	B	1	1	107	1.07	1.1	6.57	37494	68852	5982	8339	153969	2863	1417	29728	41	823	126	210	6.57	-1.27	1.41	7.49	0.191	31.5	-1.759
ODP 967	B	1	1	108	1.08	1.112	6.76	35278	67448	6146	8158	149626	2779	1974	29805	41	764	121	333	6.76	-1.47	1.81	7.61	0.175	32	-1.601
ODP 967	B	1	1	109	1.09	1.124	6.94	37916	71260	11241	8579	147881	2989	1008	38734	43	726	121	419	6.94	-0.64	2.83	7.74	0.146	32.5	-1.762
ODP 967	B	1	1	110	1.1	1.136	7.12	38119	69186	12404	8423	142971	2994	1068	37683	43	672	121	484	7.12	-0.60	3.24	7.86	0.116	33	-1.564
ODP 967	B	1	1	111	1.11	1.148	7.31	47313	98275	6334	10115	116917	4283	927	37606	52	550	142	119	7.31	1.47	0.81	7.99	0.092	33.5	-1.582
ODP 967	B	1	1	115	1.15	1.18437	7.86	32667	68306	16745	7709	132369	2634	992	41516	39	582	97	623	7.86	-1.07	4.73	8.11	0.075	34	-1.599
ODP 967	B	1	1	116	1.16	1.1925	7.99	40542	76001	12227	8542	127673	3177	1024	41012	45	590	115	483	7.99	-0.08	3.32	8.24	0.064	34.5	-1.800
ODP 967	B	1	1	117	1.17	1.20062	8.11	40674	83020	12916	9103	133931	3136	1022	45080	44	576	117	311	8.11	0.06	2.69	8.36	0.056	35	-1.641
ODP 967	B	1	1	118	1.18	1.20875	8.24	37513	75408	16464	8588	126057	3056	1020	48582	43	590	111	358	8.24	-0.16	3.64	8.48	0.051	35.5	-1.807
ODP 967	B	1	1	119	1.19	1.21688	8.36	35880	71843	19487	8229	131507	2911	951	47417	41	589	107	348	8.36	-0.55	4.06	8.61	0.05	36	-2.025
ODP 967	B	1	1	122	1.22	1.24125	8.73	34875	68964	23407	7703	127769	2636	908	53038	39	587	101	479	8.73	-0.70	5.17	8.73	0.05	36.5	-1.606
ODP 967	B	1	1	123	1.23	1.24937	8.86	42309	78031	16620	9100	112375	3476	908	46289	47	608	118	316	8.86	0.53	3.42	8.86	0.052	37	-1.427
ODP 967	B	1	1	127	1.27	1.28188	9.35	35398	70849	19203	8001	153637	2829	815	50045	40	746	106	366	9.35	-0.97	3.86	8.98	0.053	37.5	-1.486
