depth	min95%	max95%	best	accrate
212	32654	33155	32940	155.25
213	32812	33317	33096	151.71
214	32967	33474	33247	148.56
215	33122	33628	33396	145.78
216	33281	33777	33542	143.4
217	33434	33926	33685	141.39
218	33578	34074	33827	139.77
219	33727	34217	33966	138.53
220	33868	34359	34105	137.67
221	34009	34495	34242	137.12
222	34154	34632	34380	136.6
223	34297	34766	34516	136.01
224	34428	34906	34652	135.38
225	34555	35042	34788	134.69
226	34685	35183	34922	133.94
227	34815	35313	35056	133.15
228	34939	35444	35189	132.29
229	35065	35585	35322	131.39
230	35187	35737	35453	130.43
231	35309	35893	35583	129.48
232	35434	36045	35713	128.82
233	35561	36202	35842	128.52
234	35681	36356	35970	128.57
235	35804	36517	36099	128.98
236	35925	36677	36228	129.74
237	36044	36827	36358	130.85
238	36169	36973	36488	132.32
239	36296	37138	36621	134.15
240	36420	37299	36755	136.32
241	36544	37468	36891	138.79
242	36678	37637	37030	141.25
243	36811	37807	37171	143.65
244	36952	37981	37315	145.97
245	37079	38147	37461	148.23
246	37218	38319	37609	150.42
247	37357	38488	37760	152.53
248	37498	38658	37912	154.58
249	37638	38828	38067	156.56
250	37779	38997	38223	158.47
251	37922	39167	38382	160.31
252	38061	39339	38542	162.08
253	38205	39509	38704	163.79
254	38354	39678	38868	165.42
255	38507	39847	39033	166.98
256	38654	40016	39200	168.48
257	38802	40184	39369	169.9
258	38942	40358	39539	171.26
259	39085	40529	39710	172.54
260	39232	40701	39882	173.76
261	39380	40880	40056	174.91
262	39533	41058	40231	175.99
263	39693	41232	40407	176.99
264	39855	41420	40584	177.93
265	40019	41600	40762	178.8
266	40181	41781	40941	179.61
267	40337	41958	41120	180.34
268	40484	42135	41301	181
269	40646	42316	41482	181.59
270	40808	42505	41663	182.12
271	40963	42694	41846	182.57
272	41119	42875	42028	182.96
273	41275	43058	42211	183.27
274	41432	43234	42394	183.52
275	41593	43413	42578	183.69
276	41758	43590	42762	183.8
277	41925	43763	42945	183.84
278	42092	43943	43129	183.81
279	42259	44115	43313	183.71
280	42425	44294	43497	183.54
281	42579	44480	43680	183.3
282	42748	44666	43864	182.99
283	42919	44851	44047	182.62
284	43090	45023	44229	182.17
285	43261	45190	44411	181.65
286	43435	45354	44593	181.07
287	43604	45526	44774	180.41
288	43775	45717	44954	179.69
289	43943	45898	45134	178.9
290	44111	46078	45313	178.03
291	44279	46247	45491	177.1
292	44446	46430	45668	176.1
293	44613	46602	45844	175.03
294	44778	46772	46019	173.89
295	44935	46963	46193	172.68
296	45090	47147	46366	171.4
297	45239	47328	46537	170.08
298	45396	47507	46707	168.78
299	45547	47692	46876	167.54
300	45709	47878	47044	166.36
301	45855	48067	47210	165.24
302	45998	48248	47375	164.16
303	46153	48432	47539	163.15
304	46307	48621	47703	162.19
305	46461	48807	47865	161.28
306	46615	48991	48026	160.43
307	46769	49172	48186	159.63
308	46923	49364	48346	158.89
309	47082	49546	48505	158.21
310	47230	49723	48663	157.58
311	47373	49901	48821	157
312	47512	50084	48978	156.48
313	47653	50266	49134	156.02
314	47794	50456	49290	155.61
315	47935	50648	49446	155.25
316	48075	50833	49601	154.95
317	48217	51018	49756	154.71
318	48357	51203	49911	154.52
319	48494	51383	50065	154.39
320	48627	51568	50220	154.31
321	48751	51753	50374	154.29
322	48882	51946	50528	154.32
323	49015	52151	50683	154.41
324	49149	52352	50837	154.55
325	49284	52554	50992	154.75
326	49420	52727	51146	155
327	49557	52916	51301	155.31
328	49694	53097	51457	155.67
329	49832	53313	51612	156.09
330	49971	53526	51768	156.56
331	50136	53713	51925	157.09
332	50321	53897	52082	157.67
333	50460	54077	52240	158.31
334	50612	54257	52398	159.01
335	50743	54437	52557	159.76
336	50877	54630	52717	160.56
337	51019	54841	52877	161.42
338	51183	55055	53039	162.34
339	51371	55264	53201	163.31
340	51524	55459	53364	164.33
341	51679	55655	53529	165.42
342	51848	55852	53694	166.55
343	52020	56050	53861	167.74
344	52186	56248	54028	168.99
345	52339	56448	54197	170.29
346	52502	56664	54368	171.65
347	52652	56874	54539	173.06
348	52814	57083	54712	174.53
349	52969	57285	54887	176.05
350	53129	57485	55063	177.63
351	53301	57701	55241	179.26
352	53476	57927	55420	180.95
353	53653	58149	55601	182.69
354	53829	58378	55784	184.49
355	54015	58611	55968	186.34
356	54185	58850	56154	188.25
357	54356	59089	56343	190.21
358	54553	59329	56533	192.23
359	54750	59550	56725	194.31
360	54940	59776	56919	196.44
361	55129	60014	57116	198.62
362	55305	60253	57314	200.86
363	55490	60498	57515	203.16
364	55675	60743	57718	205.51
365	55858	60989	57924	207.91
366	56046	61236	58132	210.37
367	56241	61469	58342	212.89
368	56459	61701	58555	215.46
369	56675	61934	58771	218.09
370	56885	62169	58989	220.77
371	57119	62405	59209	223.51
372	57330	62643	59433	226.3
373	57528	62882	59659	229.14
374	57741	63123	59888	232.05
375	57966	63367	60120	235
376	58198	63620	60355	238.02
377	58441	63875	60593	241.09
