% Laskar et al. 2004, original file name "data_insolaout6HoGWM.txt".
%   Age (kyr)  Eccentricity      Obliquity     Precession
   -1161.000       0.036113       0.009124       0.417410
   -1160.000       0.035818       0.018792       0.417685
   -1159.000       0.035425       0.026647       0.417726
   -1158.000       0.034995       0.031894       0.417538
   -1157.000       0.034514       0.034239       0.417135
   -1156.000       0.034039       0.033538       0.416529
   -1155.000       0.033403       0.029799       0.415739
   -1154.000       0.032793       0.023576       0.414787
   -1153.000       0.032153       0.015539       0.413698
   -1152.000       0.031405       0.006352       0.412490
   -1151.000       0.030639      -0.002973       0.411188
   -1150.000       0.029828      -0.011515       0.409805
   -1149.000       0.028993      -0.018711       0.408359
   -1148.000       0.028089      -0.023677       0.406871
   -1147.000       0.027148      -0.026198       0.405358
   -1146.000       0.026193      -0.026171       0.403841
   -1145.000       0.025187      -0.023708       0.402348
   -1144.000       0.024098      -0.019163       0.400904
   -1143.000       0.023078      -0.013323       0.399542
   -1142.000       0.021927      -0.006609       0.398295
   -1141.000       0.020742      -0.000005       0.397197
   -1140.000       0.019614       0.005904       0.396276
   -1139.000       0.018313       0.010554       0.395560
   -1138.000       0.017081       0.013606       0.395067
   -1137.000       0.015725       0.014807       0.394811
   -1136.000       0.014387       0.014377       0.394804
   -1135.000       0.013011       0.012534       0.395053
   -1134.000       0.011523       0.009649       0.395559
   -1133.000       0.010095       0.006390       0.396320
   -1132.000       0.008643       0.003193       0.397336
   -1131.000       0.007054       0.000467       0.398594
   -1130.000       0.005588      -0.001310       0.400087
   -1129.000       0.004022      -0.002112       0.401796
   -1128.000       0.002483      -0.001931       0.403691
   -1127.000       0.000915      -0.000872       0.405742
   -1126.000       0.000661       0.000629       0.407900
   -1125.000       0.002193       0.002187       0.410117
   -1124.000       0.003802       0.003448       0.412339
   -1123.000       0.005329       0.003951       0.414507
   -1122.000       0.006896       0.003460       0.416561
   -1121.000       0.008496       0.001892       0.418447
   -1120.000       0.010044      -0.000764       0.420115
   -1119.000       0.011614      -0.004286       0.421515
   -1118.000       0.013203      -0.008225       0.422620
   -1117.000       0.014758      -0.012169       0.423395
   -1116.000       0.016361      -0.015618       0.423818
   -1115.000       0.017869      -0.017868       0.423877
   -1114.000       0.019484      -0.018700       0.423560
   -1113.000       0.021021      -0.017577       0.422864
   -1112.000       0.022505      -0.014472       0.421802
   -1111.000       0.024064      -0.009431       0.420380
   -1110.000       0.025545      -0.002790       0.418620
   -1109.000       0.026981       0.005006       0.416559
   -1108.000       0.028417       0.013156       0.414232
   -1107.000       0.029840       0.020926       0.411692
   -1106.000       0.031171       0.027452       0.409008
   -1105.000       0.032512       0.031883       0.406241
   -1104.000       0.033791       0.033608       0.403469
   -1103.000       0.035077       0.032219       0.400770
   -1102.000       0.036295       0.027558       0.398217
   -1101.000       0.037459       0.019829       0.395885
   -1100.000       0.038700       0.009696       0.393840
   -1099.000       0.039758      -0.002107       0.392135
   -1098.000       0.040888      -0.014375       0.390818
   -1097.000       0.041970      -0.025877       0.389926
   -1096.000       0.042963      -0.035506       0.389473
   -1095.000       0.043953      -0.042084       0.389478
   -1094.000       0.044916      -0.044912       0.389935
   -1093.000       0.045809      -0.043492       0.390824
   -1092.000       0.046685      -0.037936       0.392121
   -1091.000       0.047466      -0.028509       0.393783
   -1090.000       0.048316      -0.016236       0.395752
   -1089.000       0.049016      -0.002053       0.397973
   -1088.000       0.049700       0.012653       0.400377
   -1087.000       0.050398       0.026544       0.402891
   -1086.000       0.050971       0.038338       0.405445
   -1085.000       0.051554       0.046985       0.407971
   -1084.000       0.052058       0.051608       0.410402
   -1083.000       0.052564       0.051877       0.412687
   -1082.000       0.053018       0.047667       0.414774
   -1081.000       0.053392       0.039314       0.416621
   -1080.000       0.053806       0.027576       0.418199
   -1079.000       0.054147       0.013317       0.419481
   -1078.000       0.054390      -0.002129       0.420449
   -1077.000       0.054745      -0.017588       0.421099
   -1076.000       0.054917      -0.031674       0.421427
   -1075.000       0.055119      -0.043248       0.421435
   -1074.000       0.055280      -0.051312       0.421140
   -1073.000       0.055405      -0.055158       0.420555
   -1072.000       0.055489      -0.054443       0.419703
   -1071.000       0.055509      -0.049205       0.418617
   -1070.000       0.055538      -0.039872       0.417328
   -1069.000       0.055513      -0.027174       0.415874
   -1068.000       0.055410      -0.012249       0.414293
   -1067.000       0.055297       0.003747       0.412622
   -1066.000       0.055197       0.019340       0.410902
   -1065.000       0.054959       0.033250       0.409170
   -1064.000       0.054751       0.044260       0.407461
   -1063.000       0.054507       0.051433       0.405805
   -1062.000       0.054180       0.054129       0.404232
   -1061.000       0.053871       0.052203       0.402763
   -1060.000       0.053473       0.045784       0.401423
   -1059.000       0.053100       0.035500       0.400231
   -1058.000       0.052616       0.022361       0.399206
   -1057.000       0.052139       0.007457       0.398361
   -1056.000       0.051655      -0.007766       0.397709
   -1055.000       0.051073      -0.022016       0.397257
   -1054.000       0.050438      -0.034052       0.397009
   -1053.000       0.049877      -0.042862       0.396965
   -1052.000       0.049143      -0.047727       0.397121
   -1051.000       0.048445      -0.048379       0.397466
   -1050.000       0.047696      -0.044884       0.397990
   -1049.000       0.046908      -0.037658       0.398676
   -1048.000       0.046087      -0.027544       0.399509
   -1047.000       0.045173      -0.015476       0.400477
   -1046.000       0.044317      -0.002595       0.401562
   -1045.000       0.043350       0.009904       0.402747
   -1044.000       0.042336       0.021012       0.404016
   -1043.000       0.041371       0.029847       0.405349
   -1042.000       0.040282       0.035770       0.406723
   -1041.000       0.039195       0.038465       0.408115
   -1040.000       0.038109       0.037956       0.409495
   -1039.000       0.036927       0.034416       0.410833
   -1038.000       0.035795       0.028453       0.412096
   -1037.000       0.034529       0.020690       0.413253
   -1036.000       0.033365       0.011951       0.414272
   -1035.000       0.032097       0.002941       0.415133
   -1034.000       0.030806      -0.005432       0.415808
   -1033.000       0.029557      -0.012773       0.416283
   -1032.000       0.028277      -0.018451       0.416546
   -1031.000       0.026942      -0.022272       0.416590
   -1030.000       0.025677      -0.024203       0.416411
   -1029.000       0.024402      -0.024309       0.416015
   -1028.000       0.023117      -0.022812       0.415403
   -1027.000       0.021906      -0.020149       0.414585
   -1026.000       0.020716      -0.016627       0.413574
   -1025.000       0.019613      -0.012626       0.412385
   -1024.000       0.018565      -0.008597       0.411040
   -1023.000       0.017649      -0.004674       0.409570
   -1022.000       0.016869      -0.001038       0.408003
   -1021.000       0.016208       0.002128       0.406384
   -1020.000       0.015752       0.005005       0.404758
   -1019.000       0.015555       0.007551       0.403173
   -1018.000       0.015446       0.009847       0.401682
   -1017.000       0.015655       0.012008       0.400337
   -1016.000       0.016086       0.014077       0.399183
   -1015.000       0.016600       0.015810       0.398262
   -1014.000       0.017425       0.017334       0.397602
   -1013.000       0.018307       0.018195       0.397226
   -1012.000       0.019362       0.018265       0.397148
   -1011.000       0.020500       0.017250       0.397364
   -1010.000       0.021735       0.014977       0.397869
   -1009.000       0.023032       0.011211       0.398647
   -1008.000       0.024365       0.006155       0.399673
   -1007.000       0.025733      -0.000095       0.400920
   -1006.000       0.027196      -0.007254       0.402355
   -1005.000       0.028558      -0.014581       0.403935
   -1004.000       0.030001      -0.021675       0.405618
   -1003.000       0.031486      -0.027764       0.407358
   -1002.000       0.032884      -0.032120       0.409099
   -1001.000       0.034288      -0.034226       0.410793
   -1000.000       0.035760      -0.033760       0.412389
    -999.000       0.037070      -0.030250       0.413833
