NEW_depth_cm;ruberAge_ka;<2um_g;2-6,3um_g;6,3-20um_g;20-63um_g;>63um_g;Silikat_g;<2um_perc;2-6,3um_perc;6,3-20um_perc;20-63um_perc;> 63um_perc;Md_z;Md_um
1482.5;374.7;1.4825;0.6463;0.7969;1.1134;0.0839;4.123;35.95682755;15.67547902;19.32815911;27.00460829;2.034926025;2.57;5.38
1498.5;379.16;1.6569;0.6451;0.8262;1.3378;0.04;4.506;36.77097204;14.31646693;18.3355526;29.68930315;0.887705282;2.55;5.64
1514;383.63;1.84;0.7183;0.8710;1.5645;0.05;5.0438;36.48043142;14.24124668;17.26872596;31.01827987;0.991316071;2.51;6.18
1530;388.09;1.9074;0.7415;0.8850;1.4931;0.0987;5.1257;37.2124783;14.4663168;17.26593441;29.12967985;1.925590651;2.56;5.51
1551;393.95;2.4405;0.8810;1.1051;2.7296;0.2841;7.4403;32.80109673;11.84092039;14.85289572;36.68669274;3.81839442;2.18;13.21
1571;402.13;2.1694;0.9334;0.9223;1.1614;0.0371;5.2236;41.53074508;17.86890267;17.65640554;22.23370855;0.71023815;2.48;6.62
1592;415;2.5753;0.7970;0.8912;1.4951;0.0717;5.8303;44.1709689;13.66996552;15.28566283;25.6436204;1.229782344;2.85;2.83
1608.5;429;1.6739;0.7016;0.8998;1.8137;0.04;5.129;32.63599142;13.67907974;17.54338078;35.36166894;0.779879119;2.28;10.5
1626.5;436.69;1.5760;0.7357;0.9505;1.6993;0.0695;5.031;31.32578016;14.62333532;18.89286424;33.77658517;1.381435102;2.29;10.26
1650;440.27;1.1467;0.6695;0.9479;2.3331;0.3655;5.4627;20.99145111;12.25584418;17.35222509;42.70964907;6.690830542;2.01;19.55
1670;444.03;1.1467;0.6464;0.9999;2.6275;0.0603;5.4808;20.92212816;11.7938987;18.24368705;47.94008174;1.10020435;2.01;19.55
1689.5;447.61;1.9148;0.7770;1.1973;3.1950;0.0717;7.1558;26.75871321;10.85832472;16.73188183;44.64909584;1.001984404;2.07;17.02
1708.5;451.01;1.9785;0.8152;1.2894;2.8772;0.1053;7.0656;28.00186821;11.53759058;18.24898098;40.72124094;1.490319293;2.1;15.89
1728;454.6;1.7683;0.8123;1.2560;2.7319;0.0514;6.6199;26.71188387;12.27057811;18.97309627;41.26799498;0.776446774;2.12;15.17
1748;458.19;1.6174;0.7088;1.0485;1.9217;0.0584;5.3548;30.20467618;13.23672219;19.58056323;35.8874281;1.090610294;2.22;12.05
1769;462.26;1.9979;0.8893;1.2408;2.0973;0.0802;6.3055;31.68503687;14.10356038;19.67805884;33.26143843;1.271905479;2.3;10.02
1791;466.94;1.8179;0.5463;0.9133;1.3192;0.0525;4.6492;39.10135077;11.75040867;19.64423987;28.37477415;1.129226534;2.54;5.77
1813.5;471.62;1.9697;0.7558;1.1592;1.9960;0.0867;5.9674;33.00767503;12.66548245;19.42554546;33.44840299;1.452894058;2.3;10.02
1827;474.47;2.5600;0.9288;1.4257;2.5075;0.096;7.518;34.05160947;12.35434956;18.96382016;33.35328545;1.276935355;2.29;10.26
1845;478.34;2.2434;0.8164;1.0046;1.7726;0.1415;5.9785;37.52446266;13.65559923;16.80354604;29.64957765;2.366814418;2.6;5.02
1863;482;1.7065;0.8428;0.7966;1.6486;0.2647;5.2592;32.44790082;16.02525099;15.14679039;31.34697292;5.03308488;2.41;7.78
1880;484.21;1.8434;0.825;0.8452;1.712;0.2037;5.4293;33.9528116;15.19532905;15.56738438;31.5326101;3.751864881;2.39;8.15
1897.5;486.7;1.6083;0.7338;0.9585;2.5846;0.243;6.1282;26.2442479;11.97415228;15.64080807;42.17551646;3.965275285;2.06;17.42
1915;489.19;1.6921;0.967;1.1985;3.1687;0.314;7.3403;23.05219133;13.17384848;16.32767053;43.16853535;4.277754315;2.05;17.83
1936.5;492.09;1.7624;0.649;0.749;1.3322;0.1652;4.6578;37.83760574;13.93361673;16.08055305;28.60148568;3.546738804;2.57;5.38
1954;494.58;1.876;0.8124;1.1311;2.1215;0.1531;6.0941;30.78387293;13.33092663;18.56057498;34.8123595;2.512265962;2.3;10.02
1974.5;496.1;1.8284;0.8281;1.0861;2.656;0.2036;6.6022;27.69379904;12.54278877;16.45057708;40.22901457;3.083820545;2.12;15.17
1994.5;499.97;1.4457;0.64;0.8634;2.1779;0.1453;5.2723;27.4206703;12.13891471;16.37615462;41.3083474;2.755912979;2.12;15.17
2011.5;502.46;2.0182;0.8265;1.0993;2.0248;0.1545;6.1233;32.95935198;13.49762383;17.9527379;33.067137;2.523149282;2.34;9.14
2031.5;505.23;1.8319;0.7822;1.0092;1.9123;0.1737;5.7093;32.08624525;13.70045365;17.67642268;33.49447393;3.042404498;2.33;9.35
2055.5;508.54;1.7053;0.724;0.826;0.9603;0.0775;4.2931;39.72187929;16.86427057;19.2401761;22.3684517;1.805222334;2.74;3.64
2068.5;510.62;1.6681;0.7882;0.9588;1.5993;0.1278;5.1422;32.43942282;15.3280697;18.64571584;31.10147408;2.485317568;2.4;7.96
2088.5;514.22;1.5799;0.7882;0.8126;1.9084;0.2273;5.3164;29.71747799;14.82582198;15.28477917;35.8964713;4.275449552;2.27;10.74
2107.5;518.22;1.512;0.6031;0.6269;0.9127;0.1013;3.756;40.25559105;16.05697551;16.69062833;24.29978701;2.697018104;2.72;3.81
2129;523.11;2.1348;0.9239;1.1142;1.4119;0.1096;5.6944;37.48946333;16.224712;19.56659174;24.79453498;1.924697949;2.65;4.48
2144;526.67;1.9669;0.8634;1.1486;1.8804;0.1096;5.9689;32.9524703;14.4649768;19.24307661;31.50329206;1.836184222;2.4;7.96
2159;530;2.6269;1.2639;1.6166;2.9647;0.1774;8.6495;30.37054165;14.61240534;18.69009769;34.27596971;2.050985606;2.25;11.25
