"NEW_depth_cm"	"Zr_Al"	"Ti_Al"	"Fe_Al"	"Ca_Ti"	"Rb_Ti"	"Si_Al"	"Br_cps"	"Sr_Ca"	"age_ka"
48	0.749627858013396	0.834716483746183	2.82677864231767	5.00458965875475	-1.23731626038106	2.20942468112621	1963	-2.13951087351	8.937
49	0.699038213797183	0.915404075986305	2.87073159893748	5.01878648886966	-1.01961639173122	2.31257929728697	1913	-2.18571229944926	9.095
50	0.627834166031394	0.752024546262778	2.75411263405625	5.04754111459215	-1.05574858423633	2.25027260368219	1941	-2.20357995363369	9.255
51	0.696697060042149	0.887135830983776	2.91988298972005	4.95343966256798	-1.01116164086096	2.25941919673462	1808	-2.12461236619168	9.417
52	0.472475818391125	0.894267819786718	2.88402603374644	4.88491216531962	-1.20363547931009	2.27714034118223	2167	-2.18870646304329	9.581
53	0.708632897999326	0.80866006768179	2.83996965098712	4.91670847073852	-1.08797389046305	2.28024864604152	1882	-2.1818549345779	9.748
54	0.627499572720712	0.913436305578306	2.89871636428551	4.7676033566872	-1.19716736538341	2.27207690911595	1659	-2.12606493139863	9.915
55	0.799009452374811	0.986771412794776	3.07488664159165	4.76176608977321	-1.06911706297047	2.37528501210867	2018	-2.15031470633273	10.084
56	0.81185315121493	0.939834113308803	2.97261390595403	4.85324283338427	-1.21741044977965	2.28512045070132	1899	-2.10502886300253	10.254
57	0.819844833605903	0.818343707479636	2.929269844625	4.83324497386773	-1.30229201348188	2.22053507500953	1690	-2.13542890285768	10.426
58	0.772652893091891	0.82249485856786	2.91038723155717	4.7334050537601	-1.26710092229218	2.30527340048255	1542	-2.1968547548468	10.597
59	0.759016676264628	0.888036691366307	3.03427308186775	4.69012284418615	-1.15990544014536	2.36699366805905	1370	-2.19373403550413	10.77
60	0.736303823630887	1.03056400163426	3.09409482131154	4.54648702999821	-1.15484550468104	2.37262115409081	1915	-2.17780336272951	10.943
61	0.582847741423518	1.02435470774105	2.95092773846605	4.64966602693028	-1.40276780651073	2.3451884637484	1581	-2.16437542628327	11.116
62	0.633605786868929	0.911423414349796	2.93102418119996	4.74030287484948	-1.2049026044859	2.2765852679922	1354	-2.17299713085007	11.289
63	0.776684160336203	0.837098568785297	3.00731861006437	4.81105464805752	-1.02320084841916	2.31953278596505	1443	-2.185682906662	11.462
64	0.700670053222933	0.91001433425483	2.95122902392662	4.71759513819555	-1.25733266418543	2.26689643037696	1355	-2.20401115409906	11.635
65	1.04895508205933	1.04568022533134	3.08526823886485	4.76419449720135	-1.21844756932049	2.37285714597938	1395	-2.1616783836943	11.809
66	0.821195872090041	0.958199618689237	3.0444583454305	4.86818949181608	-1.20414490655508	2.27750882673726	1430	-2.17421133770331	11.982
67	0.702645932717853	0.832032718902902	2.8733788946071	4.79909924126281	-1.17382128915135	2.23729690952301	1347	-2.21363129865131	12.155
68	0.757203225898103	0.664062356380988	2.76699149932094	4.94846601604557	-1.23392896132536	2.21771635226573	1348	-2.16968904583607	12.329
69	0.96385544986392	1.04845962334172	3.11589942074746	4.87945028557761	-1.23776466077142	2.33635047806211	1425	-2.20234408036676	12.502
70	0.836372704706983	0.801184907292913	2.95019740366384	4.92592680343844	-1.11326869533133	2.2505039834397	1424	-2.15424784017529	12.675
71	0.884306096194721	1.07230204621519	3.15649290138824	4.76498333629312	-1.18849651918644	2.27747108797376	1542	-2.05533846973266	12.848
72	0.95666515012158	0.945067761306751	2.97554348712407	4.7564474793586	-1.28263199912848	2.19266668430432	1523	-2.073234828886	13.022
73	0.737056673175514	0.942867099161275	2.96129312792082	4.74255161278581	-1.35521368578585	2.2870029732468	1517	-2.16494315355759	13.195
74	0.830633478599632	0.899464760040178	2.87473914110127	4.73684521863307	-1.20548223857479	2.30802079332679	1606	-2.17982838927001	13.367
75	0.757887946616802	0.768448768934545	2.81928340634976	4.84319397118743	-1.34273474661776	2.28253648075349	1530	-2.19534952016093	13.54
76	0.707198934015596	0.786310976196179	2.82915406192316	4.68549581948671	-1.36714076430457	2.20671815445475	1612	-2.22384855973594	13.713
77	0.882273069893554	0.870123387729428	2.9084147584937	4.75103354792362	-1.21357842105338	2.28902556320841	1691	-2.20466374048254	13.885
78	0.561115549618134	0.778685011413851	2.8198654845512	4.75630385600943	-1.27717065894427	2.27998198640914	1489	-2.27950392119751	14.057
