Depth sed [m]	Age [ka BP]	Ti/terr	K/terr	Terr/Ca
2.452	35.322	0.478	0.387	0.186
2.454	35.344	0.480	0.379	0.199
2.456	35.366	0.474	0.390	0.198
2.458	35.388	0.460	0.405	0.146
2.460	35.410	0.456	0.414	0.160
2.462	35.430	0.468	0.403	0.178
2.464	35.450	0.459	0.412	0.191
2.466	35.470	0.468	0.399	0.181
2.468	35.490	0.457	0.409	0.183
2.470	35.510	0.463	0.400	0.181
2.472	35.532	0.451	0.417	0.200
2.474	35.554	0.455	0.411	0.202
2.476	35.576	0.465	0.401	0.177
2.478	35.598	0.469	0.396	0.198
2.480	35.620	0.461	0.398	0.197
2.482	35.642	0.483	0.383	0.223
2.484	35.664	0.474	0.388	0.241
2.486	35.686	0.475	0.393	0.220
2.488	35.708	0.465	0.395	0.232
2.490	35.730	0.478	0.390	0.222
2.492	35.752	0.472	0.391	0.221
2.494	35.774	0.471	0.395	0.199
2.496	35.796	0.470	0.390	0.200
2.498	35.818	0.483	0.389	0.244
2.500	35.840	0.469	0.390	0.222
2.502	35.862	0.481	0.391	0.248
2.504	35.884	0.485	0.381	0.259
2.506	35.906	0.474	0.388	0.292
2.508	35.928	0.475	0.389	0.295
2.510	35.950	0.474	0.386	0.259
2.512	35.970	0.496	0.384	0.255
2.514	35.990	0.497	0.374	0.274
2.516	36.010	0.512	0.370	0.284
2.518	36.030	0.513	0.363	0.247
2.520	36.050	0.475	0.381	0.171
2.522	36.072	0.472	0.391	0.151
2.524	36.094	0.485	0.383	0.169
2.526	36.116	0.484	0.385	0.168
2.528	36.138	0.490	0.383	0.192
2.530	36.160	0.489	0.380	0.232
2.532	36.182	0.477	0.388	0.209
2.534	36.204	0.484	0.379	0.178
2.536	36.226	0.480	0.390	0.169
2.538	36.248	0.484	0.383	0.166
2.540	36.270	0.479	0.385	0.185
2.542	36.292	0.480	0.388	0.178
2.544	36.314	0.483	0.386	0.170
2.546	36.336	0.483	0.386	0.166
2.548	36.358	0.478	0.392	0.168
2.550	36.380	0.478	0.389	0.158
2.552	36.402	0.492	0.381	0.162
2.554	36.424	0.491	0.385	0.167
2.556	36.446	0.483	0.387	0.156
2.558	36.468	0.485	0.390	0.153
2.560	36.490	0.478	0.395	0.152
2.562	36.510	0.471	0.394	0.148
2.564	36.530	0.472	0.398	0.147
2.566	36.550	0.479	0.395	0.140
2.568	36.570	0.472	0.406	0.136
2.570	36.590	0.472	0.400	0.137
2.572	36.612	0.457	0.410	0.129
2.574	36.634	0.460	0.405	0.132
2.576	36.656	0.456	0.402	0.128
2.578	36.678	0.453	0.417	0.121
2.580	36.700	0.444	0.416	0.125
2.582	36.722	0.456	0.412	0.121
2.584	36.744	0.444	0.420	0.120
2.586	36.766	0.452	0.420	0.123
2.588	36.788	0.445	0.420	0.127
2.590	36.810	0.469	0.410	0.134
2.592	36.832	0.463	0.409	0.132
2.594	36.854	0.451	0.406	0.131
2.596	36.876	0.452	0.422	0.137
2.598	36.898	0.461	0.405	0.146
2.600	36.920	0.452	0.411	0.156
2.602	36.942	0.459	0.409	0.155
2.604	36.964	0.456	0.406	0.146
2.606	36.986	0.452	0.414	0.148
2.608	37.008	0.458	0.418	0.153
2.610	37.030	0.452	0.412	0.143
2.612	37.050	0.457	0.408	0.154
2.614	37.070	0.454	0.409	0.181
2.616	37.090	0.454	0.418	0.195
2.618	37.110	0.467	0.407	0.195
2.620	37.130	0.463	0.414	0.215
2.622	37.152	0.446	0.414	0.199
2.624	37.174	0.461	0.408	0.213
2.626	37.196	0.457	0.415	0.215
2.628	37.218	0.454	0.414	0.243
2.630	37.240	0.456	0.416	0.248
2.632	37.262	0.458	0.411	0.252
2.634	37.284	0.456	0.414	0.253
2.636	37.306	0.461	0.406	0.234
2.638	37.328	0.457	0.406	0.185
2.640	37.350	0.478	0.379	0.216
2.642	37.372	0.441	0.410	0.170
2.644	37.394	0.452	0.409	0.169
2.646	37.416	0.461	0.401	0.181
2.648	37.438	0.471	0.382	0.193
2.650	37.460	0.453	0.406	0.163
2.652	37.480	0.450	0.408	0.159
2.654	37.500	0.446	0.421	0.162
2.656	37.520	0.442	0.413	0.168
2.658	37.540	0.451	0.409	0.161
2.660	37.560	0.445	0.416	0.157
2.662	37.582	0.460	0.410	0.165
2.664	37.604	0.461	0.414	0.157
2.666	37.626	0.453	0.413	0.158
2.668	37.648	0.462	0.407	0.170
2.670	37.670	0.451	0.416	0.168
2.672	37.692	0.456	0.411	0.182
2.674	37.714	0.458	0.409	0.180
2.676	37.736	0.457	0.408	0.180
2.678	37.758	0.458	0.419	0.183
2.680	37.780	0.457	0.409	0.188
2.682	37.802	0.458	0.401	0.188
2.684	37.824	0.455	0.414	0.184
2.686	37.846	0.458	0.402	0.198
2.688	37.868	0.452	0.413	0.215
2.690	37.890	0.470	0.401	0.211
2.692	37.912	0.457	0.405	0.191
2.694	37.934	0.457	0.409	0.198
2.696	37.956	0.448	0.414	0.182
2.698	37.978	0.459	0.401	0.176
2.700	38.000	0.448	0.415	0.156
2.702	38.020	0.462	0.401	0.164
2.704	38.040	0.455	0.412	0.171
2.706	38.060	0.460	0.404	0.189
2.708	38.080	0.468	0.407	0.172
2.710	38.100	0.447	0.425	0.165
2.712	38.122	0.463	0.407	0.156
2.714	38.144	0.439	0.421	0.150
2.716	38.166	0.458	0.402	0.141
2.718	38.188	0.464	0.403	0.147
2.720	38.210	0.474	0.393	0.154
2.722	38.232	0.471	0.391	0.148
2.724	38.254	0.457	0.404	0.135
2.726	38.276	0.455	0.408	0.137
2.728	38.298	0.464	0.401	0.136
2.730	38.320	0.464	0.400	0.138
2.732	38.342	0.458	0.402	0.146
2.734	38.364	0.487	0.384	0.150
2.736	38.386	0.477	0.386	0.151
2.738	38.408	0.476	0.383	0.151
2.740	38.430	0.471	0.393	0.155
2.742	38.452	0.465	0.404	0.149
2.744	38.474	0.456	0.410	0.151
2.746	38.496	0.461	0.405	0.144
2.748	38.518	0.461	0.409	0.146
2.750	38.540	0.466	0.408	0.144
2.752	38.560	0.465	0.403	0.143
2.754	38.580	0.470	0.404	0.151
2.756	38.600	0.451	0.410	0.148
2.758	38.620	0.456	0.405	0.146
2.760	38.640	0.453	0.404	0.147
2.762	38.662	0.438	0.417	0.147
2.764	38.684	0.448	0.412	0.139
2.766	38.706	0.441	0.414	0.149
2.768	38.728	0.461	0.411	0.157
2.770	38.750	0.471	0.397	0.163
2.772	38.772	0.445	0.412	0.153
2.774	38.794	0.443	0.417	0.162
2.776	38.816	0.451	0.411	0.155
2.778	38.838	0.441	0.414	0.152
2.780	38.860	0.446	0.409	0.162
2.782	38.882	0.442	0.405	0.169
2.784	38.904	0.446	0.406	0.167
2.786	38.926	0.456	0.401	0.179
2.788	38.948	0.451	0.411	0.176
2.790	38.970	0.451	0.410	0.185
2.792	38.992	0.464	0.390	0.195
2.794	39.014	0.465	0.398	0.186
2.796	39.036	0.458	0.392	0.197
2.798	39.058	0.464	0.385	0.200
2.800	39.080	0.457	0.392	0.198
2.802	39.100	0.464	0.400	0.177
2.804	39.120	0.425	0.414	0.131
2.806	39.140	0.445	0.404	0.138
2.808	39.160	0.463	0.397	0.156
2.810	39.180	0.444	0.403	0.149
2.812	39.202	0.453	0.403	0.154
2.814	39.224	0.461	0.399	0.150
2.816	39.246	0.462	0.398	0.154
2.818	39.268	0.469	0.391	0.154
2.820	39.290	0.460	0.401	0.151
2.822	39.312	0.461	0.404	0.142
2.824	39.334	0.452	0.410	0.147
2.826	39.356	0.461	0.406	0.143
2.828	39.378	0.455	0.407	0.143
2.830	39.400	0.460	0.403	0.142
2.832	39.422	0.451	0.409	0.139
2.834	39.444	0.453	0.417	0.151
2.836	39.466	0.469	0.398	0.152
2.838	39.488	0.469	0.396	0.150
2.840	39.510	0.461	0.397	0.148
2.842	39.532	0.460	0.396	0.143
2.844	39.554	0.447	0.405	0.144
2.846	39.576	0.460	0.401	0.158
2.848	39.598	0.439	0.419	0.149
2.850	39.620	0.452	0.406	0.153
2.852	39.640	0.449	0.404	0.155
2.854	39.660	0.440	0.416	0.154
2.856	39.680	0.452	0.409	0.143
2.858	39.700	0.433	0.416	0.133
2.860	39.720	0.448	0.406	0.150
2.862	39.742	0.461	0.399	0.142
2.864	39.764	0.459	0.405	0.141
2.866	39.786	0.466	0.399	0.130
2.868	39.808	0.448	0.410	0.135
2.870	39.830	0.446	0.416	0.126
2.872	39.868	0.442	0.412	0.132
2.874	39.906	0.428	0.432	0.122
2.876	39.944	0.434	0.427	0.122
2.878	39.982	0.422	0.427	0.115
2.880	40.020	0.433	0.422	0.110
2.882	40.042	0.436	0.418	0.114
2.884	40.064	0.427	0.431	0.124
2.886	40.086	0.423	0.423	0.125
2.888	40.108	0.425	0.419	0.115
2.890	40.130	0.450	0.403	0.139
2.892	40.152	0.452	0.404	0.141
2.894	40.174	0.444	0.404	0.138
2.896	40.196	0.439	0.422	0.123
2.898	40.218	0.446	0.416	0.126
2.900	40.240	0.441	0.419	0.118
2.902	40.262	0.431	0.421	0.126
2.904	40.284	0.438	0.421	0.120
2.906	40.306	0.449	0.421	0.123
2.908	40.328	0.440	0.418	0.120
2.910	40.350	0.453	0.413	0.131
2.912	40.372	0.447	0.411	0.126
2.914	40.394	0.442	0.418	0.129
2.916	40.416	0.456	0.401	0.138
2.918	40.438	0.448	0.407	0.139
2.920	40.460	0.424	0.424	0.130
2.922	40.480	0.442	0.420	0.133
2.924	40.500	0.437	0.412	0.131
2.926	40.520	0.452	0.410	0.126
2.928	40.540	0.437	0.427	0.126
2.930	40.560	0.427	0.433	0.132
2.934	40.604	0.432	0.424	0.184
2.936	40.626	0.436	0.424	0.172
2.938	40.648	0.449	0.416	0.201
2.940	40.670	0.445	0.420	0.218
2.942	40.692	0.434	0.416	0.234
2.944	40.714	0.432	0.424	0.172
2.946	40.736	0.441	0.422	0.204
2.948	40.758	0.467	0.400	0.197
2.950	40.780	0.444	0.422	0.199
2.952	40.802	0.454	0.416	0.215
2.954	40.824	0.456	0.411	0.265
2.956	40.846	0.441	0.424	0.190
2.958	40.868	0.451	0.413	0.150
2.960	40.890	0.441	0.421	0.136
2.962	40.910	0.436	0.423	0.157
2.964	40.930	0.442	0.417	0.167
2.966	40.950	0.448	0.421	0.164
2.968	40.970	0.446	0.419	0.168
2.970	40.990	0.440	0.420	0.168
2.972	41.012	0.429	0.426	0.169
2.974	41.034	0.446	0.413	0.174
2.976	41.056	0.446	0.412	0.180
2.978	41.078	0.439	0.419	0.192
2.980	41.100	0.440	0.425	0.190
2.982	41.122	0.450	0.414	0.193
2.984	41.144	0.445	0.414	0.198
2.986	41.166	0.446	0.416	0.196
2.988	41.188	0.446	0.417	0.194
2.990	41.210	0.451	0.410	0.197
2.992	41.232	0.442	0.417	0.197
2.994	41.254	0.443	0.408	0.197
2.996	41.276	0.446	0.411	0.198
2.998	41.298	0.431	0.426	0.191
3.000	41.320	0.439	0.417	0.186
3.002	41.340	0.442	0.416	0.183
3.004	41.360	0.438	0.418	0.182
3.006	41.380	0.433	0.413	0.192
3.008	41.400	0.449	0.410	0.195
3.010	41.420	0.455	0.407	0.189
3.012	41.442	0.444	0.420	0.184
3.014	41.464	0.428	0.425	0.176
3.016	41.486	0.451	0.414	0.183
3.018	41.508	0.441	0.426	0.183
3.020	41.530	0.435	0.424	0.184
3.022	41.552	0.437	0.428	0.179
3.024	41.574	0.436	0.422	0.185
3.026	41.596	0.427	0.427	0.172
3.028	41.618	0.439	0.423	0.175
3.030	41.640	0.435	0.424	0.185
3.032	41.666	0.424	0.434	0.194
3.034	41.692	0.435	0.427	0.208
3.036	41.718	0.433	0.430	0.210
3.038	41.744	0.430	0.425	0.201
3.040	41.770	0.418	0.442	0.203
3.042	41.812	0.441	0.414	0.223
3.044	41.854	0.444	0.422	0.212
3.046	41.896	0.422	0.436	0.218
3.048	41.938	0.431	0.422	0.219
3.050	41.980	0.424	0.434	0.206
3.052	42.020	0.418	0.439	0.199
3.054	42.060	0.420	0.449	0.205
3.056	42.100	0.424	0.435	0.216
3.058	42.140	0.426	0.433	0.216
3.060	42.180	0.435	0.433	0.220
3.062	42.222	0.430	0.436	0.209
3.064	42.264	0.428	0.435	0.208
3.066	42.306	0.428	0.444	0.202
3.068	42.348	0.419	0.440	0.195
3.070	42.390	0.414	0.443	0.212
3.072	42.430	0.428	0.430	0.227
3.074	42.470	0.426	0.426	0.226
3.076	42.510	0.421	0.431	0.215
3.078	42.550	0.417	0.430	0.213
3.080	42.590	0.414	0.441	0.202
3.082	42.630	0.415	0.438	0.204
3.084	42.670	0.417	0.435	0.213
3.086	42.710	0.418	0.436	0.202
3.088	42.750	0.422	0.436	0.214
3.090	42.790	0.438	0.418	0.231
3.092	42.832	0.422	0.428	0.215
3.094	42.874	0.413	0.432	0.211
3.096	42.916	0.422	0.433	0.216
3.098	42.958	0.416	0.441	0.200
3.100	43.000	0.404	0.441	0.203
3.102	43.040	0.432	0.423	0.209
3.104	43.080	0.415	0.432	0.209
3.106	43.120	0.421	0.434	0.202
3.108	43.160	0.430	0.424	0.204
3.110	43.200	0.410	0.437	0.188
3.112	43.242	0.409	0.441	0.189
3.114	43.284	0.393	0.460	0.184
3.116	43.326	0.423	0.440	0.199
3.118	43.368	0.434	0.426	0.197
3.120	43.410	0.406	0.441	0.182
3.122	43.452	0.416	0.433	0.185
3.124	43.494	0.416	0.432	0.190
3.126	43.536	0.418	0.445	0.184
3.128	43.578	0.407	0.443	0.168
3.130	43.620	0.413	0.433	0.174
3.132	43.660	0.415	0.430	0.158
3.134	43.700	0.405	0.433	0.154
3.136	43.740	0.408	0.436	0.144
3.138	43.780	0.398	0.441	0.148
3.140	43.820	0.398	0.444	0.142
3.142	43.862	0.404	0.440	0.142
3.144	43.904	0.399	0.448	0.145
3.146	43.946	0.396	0.451	0.136
3.148	43.988	0.402	0.440	0.140
3.150	44.030	0.397	0.444	0.142
3.152	44.072	0.411	0.433	0.143
3.154	44.114	0.418	0.436	0.144
3.156	44.156	0.415	0.437	0.153
3.158	44.198	0.404	0.442	0.141
3.160	44.240	0.398	0.441	0.140
3.162	44.282	0.385	0.453	0.141
3.164	44.324	0.425	0.428	0.147
3.166	44.366	0.395	0.449	0.148
3.168	44.408	0.405	0.451	0.139
3.170	44.450	0.383	0.453	0.140
3.172	44.492	0.387	0.452	0.124
3.174	44.534	0.406	0.445	0.131
3.176	44.576	0.407	0.439	0.131
3.178	44.618	0.400	0.447	0.116
3.180	44.660	0.394	0.453	0.117
3.182	44.702	0.393	0.454	0.124
3.184	44.744	0.396	0.460	0.113
3.186	44.786	0.409	0.452	0.113
3.188	44.828	0.386	0.462	0.107
3.190	44.870	0.393	0.451	0.109
3.192	44.912	0.405	0.447	0.110
3.194	44.954	0.391	0.450	0.103
3.196	44.996	0.381	0.462	0.103
3.198	45.038	0.384	0.456	0.098
3.200	45.080	0.378	0.463	0.097
3.202	45.124	0.392	0.459	0.112
3.204	45.168	0.388	0.455	0.113
3.206	45.212	0.387	0.460	0.126
3.208	45.256	0.393	0.443	0.108
3.210	45.300	0.393	0.444	0.104
3.212	45.342	0.384	0.450	0.101
3.214	45.384	0.366	0.472	0.096
3.216	45.426	0.381	0.455	0.097
3.218	45.468	0.387	0.465	0.097
3.220	45.510	0.391	0.455	0.095
3.222	45.552	0.394	0.458	0.105
3.224	45.594	0.393	0.457	0.105
3.226	45.636	0.402	0.443	0.112
3.228	45.678	0.386	0.461	0.121
3.230	45.720	0.405	0.452	0.120
3.232	45.764	0.387	0.464	0.123
3.234	45.808	0.393	0.449	0.115
3.236	45.852	0.409	0.429	0.117
3.238	45.896	0.396	0.455	0.124
3.240	45.940	0.391	0.453	0.123
3.242	45.984	0.396	0.441	0.120
3.244	46.028	0.387	0.451	0.122
3.246	46.072	0.406	0.438	0.133
3.248	46.116	0.396	0.447	0.133
3.250	46.160	0.389	0.464	0.119
3.252	46.178	0.389	0.457	0.126
3.254	46.196	0.417	0.426	0.164
3.256	46.214	0.411	0.440	0.177
3.258	46.232	0.422	0.428	0.172
3.260	46.250	0.410	0.431	0.157
3.262	46.280	0.406	0.426	0.134
3.264	46.310	0.409	0.434	0.143
3.266	46.340	0.397	0.440	0.139
3.268	46.370	0.412	0.448	0.139
3.270	46.400	0.418	0.428	0.191
3.272	46.420	0.427	0.422	0.207
3.274	46.440	0.422	0.424	0.209
3.276	46.460	0.431	0.404	0.222
3.278	46.480	0.426	0.405	0.300
3.280	46.500	0.429	0.397	0.217
3.282	46.528	0.438	0.399	0.284
3.284	46.556	0.450	0.392	0.255
3.286	46.584	0.431	0.417	0.236
3.288	46.612	0.424	0.415	0.210
3.290	46.640	0.448	0.393	0.238
3.292	46.732	0.448	0.403	0.240
3.294	46.824	0.452	0.401	0.261
3.296	46.916	0.445	0.405	0.255
3.298	47.008	0.440	0.412	0.252
3.300	47.100	0.442	0.414	0.233
3.302	47.178	0.429	0.417	0.223
3.304	47.256	0.445	0.405	0.235
3.306	47.334	0.421	0.435	0.204
3.308	47.412	0.445	0.410	0.216
3.310	47.490	0.431	0.410	0.212
3.312	47.536	0.429	0.415	0.233
3.314	47.582	0.424	0.416	0.221
3.316	47.628	0.433	0.418	0.226
3.318	47.674	0.445	0.409	0.275
3.320	47.720	0.438	0.415	0.256
3.322	47.764	0.437	0.409	0.280
3.324	47.808	0.442	0.407	0.283
3.326	47.852	0.453	0.402	0.300
3.328	47.896	0.424	0.426	0.300
3.330	47.940	0.420	0.413	0.274
3.332	47.986	0.433	0.421	0.270
3.334	48.032	0.430	0.413	0.290
3.336	48.078	0.437	0.414	0.282
3.338	48.124	0.437	0.404	0.289
3.340	48.170	0.443	0.402	0.288
3.342	48.218	0.428	0.412	0.282
3.344	48.266	0.433	0.403	0.282
3.346	48.314	0.432	0.417	0.302
3.348	48.362	0.428	0.425	0.292
3.350	48.410	0.432	0.412	0.295
3.352	48.456	0.430	0.406	0.293
3.354	48.502	0.440	0.411	0.298
3.356	48.548	0.440	0.410	0.311
3.358	48.594	0.441	0.408	0.299
3.360	48.640	0.440	0.410	0.278
3.362	48.688	0.442	0.411	0.295
3.364	48.736	0.423	0.429	0.276
3.366	48.784	0.443	0.407	0.287
3.368	48.832	0.444	0.415	0.273
3.370	48.880	0.417	0.422	0.282
3.372	48.928	0.430	0.410	0.283
3.374	48.976	0.441	0.413	0.283
3.376	49.024	0.436	0.423	0.295
3.378	49.072	0.447	0.401	0.290
3.380	49.120	0.445	0.403	0.276
3.382	49.168	0.434	0.413	0.285
3.384	49.216	0.419	0.426	0.280
3.386	49.264	0.437	0.409	0.302
3.388	49.312	0.428	0.413	0.297
3.390	49.360	0.437	0.416	0.280
3.392	49.408	0.439	0.412	0.290
3.394	49.456	0.423	0.424	0.275
3.396	49.504	0.427	0.418	0.275
3.398	49.552	0.432	0.420	0.257
3.400	49.600	0.435	0.423	0.265
3.402	49.648	0.427	0.431	0.254
3.404	49.696	0.436	0.416	0.273
3.406	49.744	0.432	0.402	0.271
3.408	49.792	0.455	0.397	0.300
3.410	49.840	0.449	0.395	0.283
3.412	49.890	0.445	0.402	0.283
3.414	49.940	0.444	0.403	0.320
3.416	49.990	0.446	0.397	0.297
3.418	50.040	0.454	0.385	0.327
3.420	50.090	0.437	0.407	0.295
3.422	50.140	0.449	0.399	0.290
3.424	50.190	0.439	0.402	0.291
3.426	50.240	0.435	0.413	0.260
3.428	50.290	0.432	0.411	0.270
3.430	50.340	0.435	0.407	0.257
3.432	50.390	0.450	0.399	0.279
3.434	50.440	0.437	0.405	0.262
3.436	50.490	0.429	0.422	0.262
3.438	50.540	0.437	0.418	0.286
3.440	50.590	0.450	0.399	0.285
3.442	50.640	0.429	0.421	0.273
3.444	50.690	0.426	0.420	0.214
3.446	50.740	0.436	0.417	0.230
3.448	50.790	0.453	0.406	0.238
3.450	50.840	0.429	0.419	0.208
3.452	50.880	0.445	0.397	0.244
3.454	50.920	0.444	0.402	0.249
3.456	50.960	0.423	0.415	0.236
3.458	51.000	0.430	0.421	0.228
3.460	51.040	0.411	0.432	0.206
3.462	51.080	0.428	0.420	0.198
3.464	51.120	0.429	0.420	0.197
3.466	51.160	0.419	0.430	0.179
3.468	51.200	0.414	0.429	0.165
3.470	51.240	0.406	0.440	0.153
3.472	51.280	0.412	0.434	0.165
3.474	51.320	0.416	0.429	0.165
3.476	51.360	0.412	0.423	0.166
3.478	51.400	0.422	0.414	0.175
3.480	51.440	0.442	0.411	0.183
3.482	51.480	0.426	0.424	0.166
3.484	51.520	0.423	0.430	0.165
3.486	51.560	0.423	0.422	0.162
3.488	51.600	0.408	0.429	0.159
3.490	51.640	0.421	0.427	0.164
3.492	51.680	0.418	0.430	0.164
3.494	51.720	0.408	0.431	0.168
3.496	51.760	0.417	0.426	0.154
3.498	51.800	0.415	0.422	0.158
3.500	51.840	0.422	0.425	0.173
3.502	51.880	0.448	0.397	0.187
3.504	51.920	0.433	0.410	0.189
3.506	51.960	0.416	0.433	0.175
3.508	52.000	0.408	0.435	0.177
3.510	52.040	0.416	0.429	0.183
3.512	52.080	0.423	0.422	0.194
3.514	52.120	0.426	0.404	0.197
3.516	52.160	0.418	0.426	0.183
3.518	52.200	0.423	0.408	0.211
3.520	52.240	0.431	0.413	0.243
3.522	52.280	0.442	0.395	0.279
3.524	52.320	0.435	0.412	0.244
3.526	52.360	0.427	0.427	0.214
3.528	52.400	0.443	0.409	0.255
3.530	52.440	0.443	0.407	0.260
3.532	52.480	0.442	0.406	0.285
3.534	52.520	0.451	0.392	0.280
3.536	52.560	0.446	0.392	0.294
3.538	52.600	0.454	0.384	0.296
3.540	52.640	0.452	0.392	0.297
3.542	52.680	0.444	0.393	0.302
3.544	52.720	0.463	0.374	0.322
3.546	52.760	0.460	0.372	0.319
3.548	52.800	0.470	0.367	0.346
3.550	52.840	0.452	0.385	0.316
3.552	52.880	0.453	0.391	0.268
3.554	52.920	0.443	0.405	0.274
3.556	52.960	0.466	0.389	0.333
3.558	53.000	0.473	0.384	0.317
3.560	53.040	0.456	0.387	0.346
3.562	53.080	0.456	0.392	0.337
3.564	53.120	0.465	0.386	0.314
3.566	53.160	0.466	0.390	0.317
3.568	53.200	0.460	0.391	0.305
3.570	53.240	0.462	0.396	0.320
3.572	53.280	0.469	0.387	0.328
3.574	53.320	0.466	0.386	0.315
3.576	53.360	0.460	0.388	0.288
3.578	53.400	0.455	0.393	0.309
3.580	53.440	0.475	0.363	0.384
3.582	53.492	0.472	0.364	0.362
3.584	53.544	0.449	0.390	0.292
3.586	53.596	0.456	0.382	0.313
3.588	53.648	0.455	0.380	0.281
3.590	53.700	0.464	0.366	0.341
3.592	53.900	0.461	0.375	0.343
3.594	54.100	0.455	0.368	0.379
3.596	54.300	0.460	0.367	0.337
3.598	54.500	0.448	0.376	0.298
3.600	54.700	0.470	0.364	0.300
3.602	54.900	0.457	0.376	0.305
3.604	55.100	0.456	0.373	0.309
3.606	55.300	0.471	0.373	0.349
3.608	55.500	0.463	0.385	0.380
3.610	55.700	0.452	0.389	0.258
3.612	55.900	0.444	0.408	0.204
3.614	56.100	0.440	0.419	0.202
3.616	56.300	0.458	0.396	0.257
3.618	56.500	0.485	0.373	0.335
3.620	56.700	0.478	0.374	0.359
3.622	56.900	0.479	0.372	0.406
3.624	57.100	0.463	0.377	0.437
3.626	57.300	0.468	0.374	0.425
3.628	57.500	0.472	0.380	0.408
3.630	57.700	0.477	0.362	0.437
3.632	57.760	0.458	0.381	0.402
3.634	57.820	0.468	0.371	0.425
3.636	57.880	0.471	0.362	0.372
3.638	57.940	0.465	0.376	0.411
3.640	58.000	0.464	0.384	0.512
3.642	58.080	0.472	0.361	0.502
3.644	58.160	0.458	0.386	0.502
3.646	58.240	0.468	0.367	0.372
3.648	58.320	0.475	0.373	0.350
3.650	58.400	0.473	0.369	0.341
3.652	58.492	0.463	0.374	0.251
3.654	58.584	0.472	0.367	0.236
3.656	58.676	0.458	0.391	0.165
3.658	58.768	0.458	0.402	0.149
3.660	58.860	0.434	0.410	0.142
3.662	58.938	0.454	0.400	0.132
3.664	59.016	0.460	0.388	0.146
3.666	59.094	0.501	0.352	0.174
3.668	59.172	0.437	0.403	0.143
3.670	59.250	0.442	0.404	0.126
3.672	59.326	0.447	0.401	0.118
3.674	59.402	0.453	0.407	0.123
3.676	59.478	0.436	0.407	0.128
3.678	59.554	0.437	0.412	0.118
3.680	59.630	0.441	0.411	0.118
3.682	59.708	0.437	0.406	0.115
3.684	59.786	0.448	0.403	0.117
3.686	59.864	0.442	0.401	0.120
3.688	59.942	0.439	0.417	0.113
3.690	60.020	0.455	0.405	0.116
3.692	60.096	0.433	0.415	0.112
3.694	60.172	0.441	0.399	0.127
3.696	60.248	0.447	0.400	0.117
3.698	60.324	0.448	0.406	0.112
3.700	60.400	0.445	0.404	0.103
3.702	60.478	0.443	0.403	0.102
3.704	60.556	0.439	0.396	0.104
3.706	60.634	0.467	0.393	0.117
3.708	60.712	0.456	0.393	0.121
3.710	60.790	0.463	0.387	0.118
3.712	60.868	0.457	0.392	0.115
3.714	60.946	0.471	0.389	0.129
3.716	61.024	0.470	0.384	0.139
3.718	61.102	0.456	0.397	0.137
3.720	61.180	0.457	0.399	0.128
3.722	61.256	0.467	0.391	0.135
3.724	61.332	0.450	0.389	0.146
3.726	61.408	0.464	0.390	0.148
3.728	61.484	0.469	0.387	0.136
3.730	61.560	0.465	0.392	0.127
3.732	61.638	0.453	0.406	0.132
3.734	61.716	0.460	0.393	0.144
3.736	61.794	0.447	0.387	0.150
3.738	61.872	0.471	0.387	0.139
3.740	61.950	0.470	0.387	0.147
3.742	62.026	0.463	0.395	0.139
3.744	62.102	0.464	0.388	0.140
3.746	62.178	0.479	0.382	0.134
3.748	62.254	0.457	0.399	0.136
3.750	62.330	0.455	0.389	0.144
3.752	62.408	0.457	0.396	0.142
3.754	62.486	0.459	0.397	0.135
3.756	62.564	0.461	0.393	0.137
3.758	62.642	0.462	0.387	0.159
3.760	62.720	0.481	0.371	0.169
3.762	62.796	0.467	0.395	0.145
3.764	62.872	0.454	0.411	0.138
3.766	62.948	0.461	0.399	0.144
3.768	63.024	0.469	0.393	0.138
3.770	63.100	0.470	0.393	0.139
3.772	63.178	0.476	0.383	0.131
3.774	63.256	0.466	0.396	0.124
3.776	63.334	0.483	0.382	0.134
3.778	63.412	0.485	0.377	0.141
3.780	63.490	0.492	0.365	0.153
3.782	63.568	0.471	0.377	0.141
3.784	63.646	0.480	0.380	0.143
3.786	63.724	0.466	0.391	0.144
3.788	63.802	0.475	0.387	0.139
3.790	63.880	0.468	0.393	0.127
3.792	63.956	0.486	0.377	0.138
3.794	64.032	0.460	0.394	0.124
3.796	64.108	0.464	0.391	0.120
3.798	64.184	0.462	0.396	0.118
3.800	64.260	0.450	0.410	0.105
3.802	64.338	0.437	0.409	0.101
3.804	64.416	0.458	0.396	0.097
3.806	64.494	0.463	0.391	0.096
3.808	64.572	0.465	0.398	0.097
3.810	64.650	0.455	0.404	0.107
3.812	64.726	0.458	0.394	0.103
3.814	64.802	0.447	0.413	0.104
3.816	64.878	0.473	0.386	0.115
3.818	64.954	0.452	0.405	0.117
3.820	65.030	0.455	0.396	0.116
3.822	65.070	0.468	0.391	0.132
3.824	65.110	0.449	0.407	0.129
3.826	65.150	0.447	0.404	0.127
3.828	65.190	0.454	0.400	0.130
3.830	65.230	0.446	0.415	0.127
3.832	65.270	0.469	0.391	0.125
3.834	65.310	0.464	0.394	0.145
3.836	65.350	0.448	0.406	0.126
3.838	65.390	0.462	0.399	0.132
3.840	65.430	0.457	0.395	0.127
3.842	65.468	0.444	0.397	0.122
3.844	65.506	0.461	0.390	0.115
3.846	65.544	0.444	0.406	0.119
3.848	65.582	0.448	0.399	0.110
