Depth sed [m]	Age [ka BP]	Ti/terr	K/terr	Terr/Ca
0.318	4.320	0.405	0.435	0.064
0.320	4.340	0.414	0.443	0.063
0.322	4.358	0.431	0.422	0.067
0.324	4.376	0.417	0.436	0.064
0.326	4.394	0.417	0.439	0.068
0.328	4.412	0.413	0.435	0.074
0.330	4.430	0.419	0.432	0.065
0.332	4.448	0.411	0.444	0.061
0.334	4.466	0.400	0.449	0.053
0.336	4.484	0.396	0.450	0.052
0.338	4.502	0.415	0.443	0.059
0.340	4.520	0.419	0.444	0.056
0.342	4.540	0.400	0.447	0.054
0.344	4.560	0.413	0.441	0.052
0.346	4.580	0.391	0.455	0.045
0.348	4.600	0.395	0.458	0.046
0.350	4.620	0.403	0.457	0.050
0.352	4.638	0.406	0.449	0.059
0.354	4.656	0.395	0.455	0.058
0.356	4.674	0.420	0.438	0.050
0.358	4.692	0.385	0.455	0.044
0.360	4.710	0.399	0.453	0.041
0.362	4.728	0.415	0.442	0.043
0.364	4.746	0.363	0.463	0.032
0.366	4.764	0.379	0.478	0.033
0.368	4.782	0.368	0.460	0.036
0.370	4.800	0.368	0.479	0.032
0.372	4.820	0.361	0.484	0.030
0.374	4.840	0.350	0.486	0.029
0.376	4.860	0.352	0.478	0.026
0.378	4.880	0.361	0.478	0.028
0.380	4.900	0.379	0.470	0.040
0.382	4.918	0.404	0.456	0.050
0.384	4.936	0.417	0.438	0.073
0.386	4.954	0.430	0.418	0.081
0.388	4.972	0.432	0.411	0.083
0.390	4.990	0.415	0.437	0.063
0.392	5.008	0.382	0.460	0.050
0.394	5.026	0.403	0.452	0.047
0.396	5.044	0.377	0.457	0.038
0.398	5.062	0.372	0.464	0.036
0.400	5.080	0.397	0.451	0.038
0.402	5.098	0.393	0.458	0.040
0.404	5.116	0.377	0.478	0.034
0.406	5.134	0.363	0.490	0.036
0.408	5.152	0.365	0.480	0.035
0.410	5.170	0.384	0.458	0.041
0.412	5.190	0.400	0.450	0.054
0.414	5.210	0.392	0.449	0.063
0.416	5.230	0.414	0.447	0.062
0.418	5.250	0.400	0.450	0.059
0.420	5.270	0.392	0.463	0.048
0.422	5.288	0.403	0.456	0.043
0.424	5.306	0.383	0.470	0.036
0.426	5.324	0.357	0.484	0.033
0.428	5.342	0.373	0.469	0.029
0.430	5.360	0.372	0.474	0.029
0.432	5.378	0.352	0.480	0.026
0.434	5.396	0.348	0.497	0.025
0.436	5.414	0.344	0.474	0.023
0.438	5.432	0.357	0.497	0.023
0.440	5.450	0.349	0.476	0.026
0.442	5.470	0.338	0.484	0.024
0.444	5.490	0.344	0.478	0.025
0.446	5.510	0.362	0.489	0.026
0.448	5.530	0.347	0.490	0.025
