MCD	Age (ka BP)	Terrigenous %
22.7	594.48	23.4
22.75	597.17	23.4
22.8	599.84	23.4
22.85	602.53	23.9
22.9	605.21	20.38
22.95	607.88	20.38
23	610.57	20.38
23.05	613.25	19.38
23.1	615.92	24.91
23.2	621.29	20.88
23.25	623.97	21.89
23.3	626.65	30.94
23.35	628.83	31.94
23.4	629.53	30.44
23.45	630.24	30.44
23.5	630.94	29.43
23.55	631.65	29.43
23.6	632.35	27.92
23.65	633.06	27.92
23.7	633.76	27.42
23.75	634.47	27.42
23.8	635.18	28.93
23.85	635.88	26.41
23.9	636.59	24.4
23.95	637.29	24.4
24	638	24.4
24.05	638.7	26.41
24.1	639.41	25.91
24.15	640.11	24.4
24.2	640.82	23.9
24.3	642.23	21.89
24.35	642.93	21.89
24.4	643.64	23.9
24.45	644.34	26.92
24.5	645.05	26.41
24.55	645.76	24.91
24.6	646.46	23.9
24.65	647.17	23.9
24.7	647.87	25.41
24.75	648.58	26.92
24.8	649.28	26.92
24.85	649.99	29.43
24.9	650.69	30.44
24.95	651.4	28.42
25	652.1	30.94
25.05	652.81	32.45
25.1	653.51	31.94
25.15	654.22	33.45
25.2	654.93	35.96
25.25	655.63	35.96
25.3	656.34	33.45
25.35	657.04	31.94
25.4	657.75	29.93
25.45	658.45	28.93
25.5	659.16	27.92
25.55	659.86	27.42
25.6	660.57	30.94
25.65	661.27	31.44
25.7	661.98	29.43
25.8	663.39	24.91
25.85	664.09	25.41
25.9	664.8	26.92
25.95	665.51	28.42
26	666.21	28.93
26.05	666.92	31.94
26.1	668.26	33.45
26.15	670.33	32.95
26.2	672.4	27.92
26.25	674.47	19.38
26.3	676.53	17.37
26.35	678.6	18.87
26.4	680.67	18.87
26.45	682.73	18.37
26.5	684.8	18.37
26.55	686.87	16.86
26.6	688.94	14.85
26.65	691.01	13.85
26.7	693.07	13.35
26.75	695.14	13.35
26.8	697.21	12.84
26.85	699.28	12.34
26.9	701.34	14.85
26.95	703.41	20.38
27	705.48	23.9
27.05	707.54	25.41
27.1	709.61	29.93
27.15	711.68	33.95
27.2	713.75	34.96
27.25	715.82	36.97
27.3	717.88	37.47
27.35	719.15	37.98
27.4	720.36	38.48
27.45	721.58	35.46
27.5	722.8	28.42
27.55	724.01	21.39
27.65	726.45	18.87
27.7	727.66	18.87
27.75	728.88	17.37
27.8	730.09	16.36
27.85	731.31	16.36
27.9	732.53	14.85
27.95	733.74	15.36
28	734.98	12.84
28.05	736.64	13.35
28.1	738.3	14.35
28.15	739.96	15.36
28.2	741.62	18.87
28.25	743.29	24.4
28.3	744.95	26.92
28.35	746.61	26.92
28.4	748.27	22.39
28.45	749.93	16.36
28.5	751.59	15.86
28.55	753.25	17.87
28.6	754.91	16.36
28.65	756.58	15.86
28.7	758.24	17.37
28.75	759.9	18.87
28.8	761.56	18.37
28.85	763.22	19.38
28.9	764.88	19.88
28.95	766.54	17.37
29	768.21	17.37
29.05	769.87	16.86
29.15	773.19	20.88
29.2	774.85	21.39
29.25	776.51	20.88
29.3	778.17	19.38
29.35	779.37	16.86
29.4	780.51	16.36
29.45	781.65	16.36
29.5	782.78	18.87
29.55	783.92	21.89
29.6	785.05	25.91
29.65	786.19	27.92
29.7	787.33	30.44
29.75	788.46	30.94
29.8	789.6	30.44
29.85	790.72	29.93
29.9	791.78	29.43
29.95	792.84	30.44
30	793.91	31.94
30.05	794.97	29.43
30.1	796.03	27.42
30.15	797.09	27.92
30.2	798.16	27.42
30.25	799.22	28.42
30.3	800.28	27.42
30.35	801.35	26.41
30.4	802.41	23.4
30.45	803.47	20.88
30.5	804.54	21.39
30.55	805.6	21.89
30.65	807.73	19.88
30.7	808.79	17.37
30.75	809.85	15.36
30.8	810.92	14.35
30.85	811.98	14.35
30.9	813.54	15.36
30.95	815.22	16.36
31	816.91	16.86
31.05	818.58	16.36
31.1	820.27	14.35
31.15	821.95	14.85
31.2	823.63	18.87
31.25	825.31	23.4
31.3	826.99	19.88
31.35	828.67	16.86
31.4	830.35	16.86
31.45	832.03	18.37
31.5	833.71	14.85
31.55	835.39	13.35
31.6	837.07	14.35
31.65	838.75	15.86
31.7	840.43	18.37
31.75	842.11	20.88
31.8	843.79	18.87
31.85	845.47	18.87
31.9	847.15	17.37
31.95	848.83	16.36
32	850.51	15.86
32.05	852.3	15.36
32.15	857.88	23.9
32.2	860.67	28.42
32.25	863.46	30.94
32.3	866.25	31.94
32.35	869.04	33.45
32.4	871.83	35.46
32.45	873.36	35.46
32.5	874.44	35.46
32.55	875.52	31.44
32.6	876.61	29.93
32.65	877.69	31.94
32.7	878.77	33.45
32.75	879.86	33.45
32.8	880.94	32.45
32.85	882.02	31.94
32.9	883.1	29.93
32.95	884.19	29.43
33	885.27	29.93
33.05	886.35	28.42
33.1	887.44	31.44
33.15	888.52	35.46
33.2	889.6	38.98
33.25	890.69	38.98
33.3	891.77	37.98
33.35	892.85	37.47
33.4	893.93	37.47
33.45	895.02	37.47
33.5	896.1	38.98
33.55	897.18	39.48
33.65	899.35	30.44
33.7	900.43	29.43
33.75	901.52	26.41
33.8	902.6	22.9
33.85	903.68	18.87
33.9	904.76	16.36
33.95	905.85	16.86
34	906.93	19.88
34.05	908.01	22.39
34.1	909.1	20.88
34.15	910.18	19.88
34.2	911.26	21.39
34.25	912.35	23.9
34.3	913.43	28.42
34.35	914.51	36.97
34.4	915.59	39.99
34.45	916.68	40.99
34.5	917.76	42.5
34.55	918.84	37.98
34.6	919.93	34.46
34.65	921.01	34.46
34.7	922.09	32.45
34.75	923.17	35.96
34.8	924.26	35.96
34.85	925.34	33.95
34.9	926.42	35.46
34.95	927.51	34.46
35	928.59	30.94
35.05	929.67	29.93
35.1	930.76	32.45
35.15	931.84	32.95
35.2	932.92	30.94
35.25	934	29.93
35.3	935.09	31.44
35.35	936.17	31.94
35.4	937.25	27.92
35.45	938.34	25.41
35.5	939.42	28.93
35.55	940.5	27.42
35.6	941.59	26.41
35.65	942.67	28.93
35.7	943.75	33.45
35.75	944.83	34.96
35.8	945.92	30.44
35.85	947	28.42
35.95	949.17	20.88
36	950.25	17.87
36.05	951.33	14.35
36.1	952.42	12.34
36.15	953.55	14.35
36.2	954.69	21.89
36.25	955.82	30.94
36.3	956.95	33.45
36.35	958.08	31.94
36.4	959.21	32.95
36.45	960.34	33.95
36.5	961.47	33.45
36.55	962.6	30.44
36.6	963.73	27.92
36.65	964.87	26.41
36.7	966	25.91
36.75	967.13	27.42
36.8	968.26	28.42
36.85	969.39	25.41
36.9	970.52	23.9
36.95	971.65	24.91
37	972.78	27.92
37.05	973.91	24.91
37.1	975.05	16.86
37.15	976.18	13.85
37.2	977.31	18.37
37.25	978.44	21.39
37.3	979.57	23.9
37.4	981.83	25.41
37.45	982.96	20.88
37.5	984.1	19.38
37.55	985.23	23.4
37.6	986.36	23.4
37.65	987.49	24.91
37.7	988.62	24.4
37.75	989.75	21.39
37.8	990.88	20.38
37.85	992.01	19.88
37.9	993.14	16.36
37.95	994.27	12.84
38	995.41	10.83
38.05	996.37	9.83
38.1	997.27	11.33
38.15	998.17	12.84
38.2	999.08	17.37
38.25	999.99	24.91
38.3	1000.89	27.42
38.35	1001.79	28.93
38.4	1002.69	28.93
38.45	1003.59	26.92
38.5	1004.5	28.93
38.55	1005.4	25.91
38.6	1006.3	24.4
38.65	1007.2	21.39
38.7	1008.1	21.39
38.75	1009.01	22.9
38.8	1009.91	26.41
38.9	1011.71	27.92
38.95	1012.61	27.42
39	1013.52	22.9
39.05	1014.42	22.9
39.1	1015.33	24.91
39.15	1016.23	21.39
39.2	1017.13	20.88
39.25	1018.03	22.39
39.3	1018.93	21.89
39.35	1019.84	20.38
39.4	1020.74	21.39
39.45	1021.64	21.89
39.5	1022.85	22.39
39.55	1024.8	21.89
39.6	1026.75	18.87
39.65	1028.7	18.37
39.7	1030.66	19.38
39.75	1032.61	22.9
39.8	1034.56	26.41
39.85	1036.51	28.93
39.9	1038.46	30.94
39.95	1040.41	30.94
40	1042.36	31.94
40.05	1044.32	34.46
40.1	1046.27	34.96
