MCD	Age (ka BP)	Terrigenous %
67.05	2128.89	26.41
67.1	2130.09	25.41
67.15	2131.29	22.39
67.2	2132.48	17.87
67.25	2133.67	14.35
67.3	2134.87	13.35
67.35	2136.07	14.35
67.4	2137.27	15.86
67.45	2138.46	16.36
67.5	2139.66	17.87
67.55	2140.86	20.88
67.6	2142.05	23.4
67.65	2143.25	23.9
67.7	2144.44	23.9
67.75	2145.64	21.89
67.8	2146.84	21.89
67.85	2148.03	22.9
67.9	2149.23	24.4
67.95	2150.42	24.4
68	2151.62	21.39
68.05	2152.82	20.88
68.1	2154.01	22.39
68.15	2155.21	26.41
68.2	2156.4	22.9
68.25	2157.6	19.38
68.3	2160	18.87
68.4	2161.19	22.39
68.45	2162.39	22.39
68.5	2163.59	21.89
68.55	2164.78	19.88
68.6	2165.98	20.38
68.65	2167.17	19.88
68.7	2168.37	21.89
68.75	2169.57	23.4
68.8	2170.76	23.4
68.85	2171.96	22.39
68.9	2173.15	22.9
68.95	2174.35	23.4
69	2175.55	24.4
69.05	2176.74	25.41
69.1	2177.94	24.91
69.15	2179.13	24.4
69.2	2180.33	25.41
69.25	2181.53	25.91
69.3	2182.72	21.89
69.35	2183.92	16.86
69.4	2185.13	13.85
69.45	2186.73	12.34
69.5	2188.33	14.85
69.55	2189.93	20.88
69.6	2191.53	27.42
69.65	2193.12	30.44
69.7	2194.73	34.96
69.75	2196.32	37.98
69.8	2199.52	37.47
69.9	2201.12	35.46
69.95	2202.72	33.45
70	2204.31	28.42
70.05	2205.92	22.9
70.1	2207.51	17.87
70.15	2209.12	18.37
70.2	2210.71	23.4
70.25	2212.31	27.92
70.3	2213.91	30.94
70.35	2215.51	32.45
70.4	2217.11	31.94
70.45	2218.71	29.93
70.5	2220.3	29.93
70.55	2221.9	27.42
70.6	2223.5	24.4
70.65	2225.1	18.37
70.7	2226.7	14.35
70.75	2228.34	14.35
70.8	2230.22	17.87
70.85	2232.1	23.4
70.9	2233.99	28.42
70.95	2235.87	29.93
71	2237.76	29.93
71.05	2239.64	29.43
71.1	2241.52	29.43
71.15	2243.41	29.93
71.2	2245.29	29.43
71.25	2247.18	30.94
71.3	2250.95	29.43
71.4	2252.83	22.9
71.45	2254.71	17.87
71.5	2256.48	14.85
71.55	2258.09	13.85
71.6	2259.71	15.36
71.65	2261.32	15.86
71.7	2262.93	17.37
71.75	2264.55	18.37
71.8	2266.16	19.88
71.85	2267.78	19.38
71.9	2269.4	17.87
71.95	2271.02	17.87
72	2272.63	19.38
72.05	2274.24	19.38
72.1	2275.86	18.37
72.15	2277.47	18.37
72.2	2279.09	19.38
72.25	2280.7	20.38
72.3	2282.31	26.41
72.35	2283.93	28.42
72.4	2285.54	28.93
72.45	2287.16	26.41
72.5	2288.78	28.42
72.55	2290.4	31.44
72.6	2292.01	33.95
72.65	2293.62	35.96
72.7	2295.24	37.47
72.75	2296.85	33.95
72.8	2300.08	28.42
72.9	2301.69	16.36
72.95	2303.34	13.85
73	2304.99	14.35
73.05	2306.64	17.37
73.1	2308.29	20.38
73.15	2309.94	22.9
73.2	2311.58	24.91
73.25	2313.23	25.41
73.3	2314.88	23.9
73.35	2316.53	22.9
73.4	2318.18	21.39
73.45	2319.83	21.39
73.5	2321.47	18.87
73.55	2323.13	19.38
73.6	2324.77	27.92
73.65	2326.42	32.95
73.7	2328.07	33.45
73.75	2329.72	34.46
73.8	2331.37	36.97
73.85	2333.01	39.99
73.9	2334.67	39.48
73.95	2336.31	32.95
74	2337.97	28.93
74.05	2339.61	23.4
74.1	2341.26	16.86
74.15	2342.91	14.35
74.2	2344.55	14.85
74.25	2346.07	15.36
74.3	2349.03	17.87
74.4	2350.5	17.87
74.45	2351.98	17.37
74.5	2353.46	17.37
74.55	2354.93	17.87
74.6	2356.41	19.38
74.65	2357.89	19.88
74.7	2359.36	19.38
74.75	2360.84	19.38
74.8	2362.32	20.88
74.85	2363.8	19.88
74.9	2365.27	17.37
74.95	2366.75	16.86
75	2368.23	15.86
75.05	2369.7	15.86
75.1	2371.18	15.86
75.15	2372.66	14.85
75.2	2374.14	14.35
75.25	2375.61	13.35
75.3	2380.04	12.84
75.35	2381.47	11.84
75.4	2382.88	11.84
75.45	2384.31	11.33
75.5	2385.73	12.34
75.55	2389.82	12.34
75.6	2391.18	12.34
75.65	2392.54	12.34
75.7	2393.9	13.35
75.75	2395.26	13.35
75.8	2396.63	13.35
75.85	2397.99	12.84
75.9	2399.34	13.85
75.95	2400.71	14.35
76	2402.07	15.36
76.05	2403.44	15.86
76.1	2404.8	15.36
76.15	2406.16	13.85
76.2	2407.52	12.84
76.25	2408.88	11.84
76.3	2410.25	11.84
76.35	2411.61	10.33
76.4	2412.97	9.83
76.45	2414.33	8.82
76.5	2415.69	8.82
76.55	2417.06	8.32
76.6	2418.42	8.32
76.65	2419.78	7.82
76.7	2421.09	8.32
76.75	2422.31	7.82
76.8	2424.74	7.31
76.9	2425.96	8.32
76.95	2427.18	8.82
77	2428.4	9.83
77.05	2429.62	10.83
77.1	2430.83	12.34
77.15	2432.05	12.34
77.2	2433.27	14.35
77.25	2434.49	17.87
77.3	2435.71	22.9
77.35	2436.93	24.91
77.4	2438.15	21.89
77.45	2439.36	20.38
77.5	2440.58	19.88
77.55	2441.8	19.38
77.6	2443.02	17.87
77.65	2444.24	18.37
77.7	2445.45	20.88
77.75	2446.67	21.39
77.8	2447.89	20.88
77.85	2449.11	23.4
77.9	2450.33	25.41
77.95	2451.55	25.41
78	2452.77	23.9
78.05	2453.98	26.41
78.1	2455.2	26.92
78.15	2456.42	28.42
78.2	2457.64	26.41
78.25	2458.86	22.39
78.3	2460.07	20.38
78.35	2461.29	19.38
78.4	2462.51	16.86
78.45	2463.73	17.37
78.5	2464.95	15.36
78.55	2466.17	14.85
78.6	2467.39	13.85
78.65	2468.6	13.85
78.7	2471.11	12.84
78.8	2472.38	10.83
78.85	2473.63	11.33
78.9	2474.89	11.33
78.95	2476.16	10.33
79	2477.42	13.35
79.05	2478.68	16.36
79.1	2479.94	20.88
79.15	2481.2	26.92
79.2	2482.47	29.93
79.25	2483.72	28.93
79.3	2484.99	26.92
79.35	2486.25	25.91
79.4	2487.51	25.91
79.45	2488.77	25.41
79.5	2490.03	31.44
79.55	2491.3	31.44
79.6	2492.56	26.92
79.65	2493.82	22.9
79.7	2495.08	18.87
79.75	2496.35	17.37
79.8	2497.6	17.37
79.85	2498.86	16.36
79.9	2500.31	16.86
79.95	2501.77	16.36
80	2503.23	16.36
80.05	2504.69	17.37
80.1	2506.15	17.87
80.15	2507.62	18.37
80.2	2510.54	18.87
80.3	2512	23.4
80.35	2513.47	30.94
80.4	2514.93	31.44
80.45	2516.39	27.92
80.5	2517.86	23.9
80.55	2519.31	26.41
80.6	2520.78	27.92
80.65	2522.24	27.42
80.7	2523.7	28.93
80.75	2525.17	27.42
80.8	2526.63	24.4
80.85	2528.09	24.91
80.9	2529.55	26.92
80.95	2531.02	27.92
81	2532.48	26.41
81.05	2533.94	29.43
81.1	2535.4	30.44
81.15	2536.86	31.94
81.2	2538.33	37.98
81.25	2539.79	44.01
81.3	2541.25	40.49
81.35	2542.71	29.43
81.4	2544.17	23.4
81.45	2545.91	18.87
81.5	2548.12	19.38
81.55	2550.33	21.89
81.6	2552.55	23.4
81.65	2554.76	25.41
81.7	2559.19	28.93
81.8	2561.41	32.45
81.85	2563.62	31.94
81.9	2565.83	29.93
81.95	2568.05	28.93
82	2570.26	30.44
82.05	2572.48	33.45
82.1	2574.69	37.47
82.15	2576.9	39.48
82.2	2579.12	36.47
82.25	2581.33	35.96
82.3	2583.55	31.94
82.35	2585.76	24.91
82.4	2587.98	17.37
82.45	2589.85	13.35
82.5	2591.69	14.35
82.55	2593.54	19.38
82.6	2595.38	23.9
82.65	2597.23	27.42
82.7	2599.07	28.93
82.75	2600.91	31.94
82.8	2602.75	33.95
82.85	2604.59	33.45
82.9	2606.44	31.94
82.95	2608.28	30.94
83	2610.13	26.41
83.05	2611.97	18.87
83.1	2613.81	19.38
83.15	2615.66	22.9
83.2	2617.5	24.91
83.25	2619.35	18.37
83.3	2621.19	24.91
83.35	2623.03	24.4
83.4	2624.88	23.4
83.45	2626.72	22.9
83.5	2628.57	21.89
83.55	2630.41	17.87
83.6	2632.33	13.85
83.65	2634.56	11.84
83.7	2636.79	12.34
83.75	2639.04	16.86
83.8	2641.27	20.88
83.85	2643.52	19.38
83.9	2645.75	29.43
83.95	2647.99	32.95
84	2650.23	39.48
84.05	2652.46	40.49
84.1	2654.71	34.96
84.15	2656.94	28.42
84.2	2659.19	21.89
84.25	2661.42	18.87
84.3	2663.65	17.87
84.35	2665.9	19.88
84.4	2668.13	22.39
84.45	2670.38	26.41
84.5	2672.61	30.44
84.55	2674.85	31.44
84.6	2677.09	29.93
84.65	2679.32	25.91
84.7	2683.8	17.87
84.8	2686.05	22.39
84.85	2688.28	27.42
84.9	2690.51	30.94
84.95	2692.56	35.46
85	2694.45	36.47
85.05	2696.34	32.95
85.1	2698.22	28.42
85.15	2700.11	20.38
85.2	2702	13.85
85.25	2703.89	10.83
85.3	2705.78	9.83
85.35	2707.67	11.84
85.4	2709.56	15.36
85.45	2711.44	18.87
85.5	2713.33	21.89
85.55	2715.22	22.9
85.6	2717.11	27.42
85.65	2719	34.46
85.7	2720.89	31.94
85.75	2722.77	33.45
85.8	2724.66	31.94
85.85	2726.55	29.43
85.9	2728.44	24.4
85.95	2730.33	22.39
86	2732.22	18.37
86.05	2734.11	16.36
86.1	2735.99	17.37
86.15	2737.89	17.87
86.2	2741.66	18.37
86.3	2743.55	20.88
86.35	2745.43	20.38
86.4	2747.33	18.87
86.45	2749.21	19.38
86.5	2751.11	20.88
86.55	2752.99	21.89
86.6	2754.88	22.39
86.65	2756.77	21.89
86.7	2758.65	19.88
86.75	2760.55	16.86
86.8	2764.55	14.35
86.9	2766.68	16.36
86.95	2768.81	19.38
87	2770.95	20.88
87.05	2773.07	22.9
87.1	2775.21	23.4
87.15	2777.34	23.4
87.2	2779.48	22.39
87.25	2781.61	22.39
87.3	2783.73	20.88
87.35	2785.87	19.88
87.4	2788	18.87
87.45	2790.14	19.38
87.5	2792.27	18.87
87.55	2794.4	18.37
87.6	2796.53	19.38
87.65	2798.66	20.38
87.7	2800.8	20.88
87.75	2802.93	20.38
87.8	2805.07	18.87
87.85	2807.19	17.37
87.9	2809.32	15.36
87.95	2811.46	13.85
88	2813.59	11.84
88.05	2815.73	12.34
88.1	2817.85	13.35
88.15	2819.98	14.35
88.2	2822.12	15.86
88.25	2824.25	18.87
88.3	2826.39	21.89
88.35	2828.51	21.89
88.4	2830.65	19.88
88.45	2832.78	18.87
88.5	2834.91	18.87
88.55	2837.05	18.87
88.6	2839.17	17.87
88.65	2841.31	17.37
88.7	2843.46	15.86
88.75	2845.84	14.35
88.8	2848.22	13.85
88.85	2850.6	14.35
88.9	2852.98	15.36
88.95	2855.36	15.86
89	2857.74	16.36
89.05	2860.12	17.37
89.1	2862.49	18.87
89.15	2864.88	19.38
89.2	2867.25	21.39
89.25	2869.64	22.9
89.3	2872.01	22.39
89.35	2874.39	21.89
89.4	2876.77	22.39
89.45	2881.53	21.89
89.55	2883.91	21.89
89.6	2886.29	20.88
89.65	2888.49	18.87
89.7	2890.36	18.87
89.75	2892.24	18.87
89.8	2894.11	19.88
89.85	2896	22.39
89.9	2897.87	24.4
89.95	2899.74	25.41
90	2901.62	26.41
90.05	2903.5	26.41
90.1	2905.38	25.91
90.15	2907.25	24.4
90.2	2909.13	23.9
90.25	2911	21.89
90.3	2912.88	20.38
90.35	2914.76	20.38
90.4	2916.63	22.39
90.45	2918.51	24.4
90.5	2920.39	25.91
90.55	2922.39	25.91
90.6	2924.45	26.41
90.65	2926.49	25.91
90.7	2928.55	23.4
90.75	2930.8	20.38
90.8	2932.83	16.36
90.85	2934.85	14.85
90.9	2936.87	16.36
90.95	2939	21.89
91.05	2942.95	28.93
91.1	2944.98	36.47
91.15	2948	40.99
91.2	2952.49	41.49
91.25	2954.1	39.99
91.3	2955.71	37.98
91.35	2957.32	34.46
91.4	2958.93	29.43
91.45	2960.54	23.9
91.5	2962.14	19.88
91.55	2963.76	17.87
91.6	2965.36	19.38
91.65	2966.98	20.88
91.7	2968.58	22.9
91.75	2970.19	23.9
91.8	2971.81	25.91
91.85	2973.41	26.92
91.9	2975.03	28.42
91.95	2976.63	31.44
92	2978.25	30.94
92.05	2979.85	26.41
92.1	2981.46	22.9
92.15	2983.07	19.38
92.2	2984.68	17.87
92.25	2986.29	18.87
92.3	2987.9	21.39
92.35	2989.51	22.9
92.4	2991.12	24.91
92.45	2994.34	26.92
92.55	2995.95	28.93
92.6	2997.56	28.42
92.65	2999.17	26.92
92.7	3000.77	23.9
92.75	3002.39	19.38
92.8	3004	16.86
92.85	3005.61	16.86
92.9	3007.22	18.37
92.95	3008.82	21.39
93	3010.44	22.39
93.05	3012.04	23.9
93.1	3013.66	24.91
93.15	3015.26	26.92
93.2	3016.88	27.92
93.25	3018.48	29.93
93.3	3020.09	32.95
93.35	3021.71	31.94
93.4	3023.31	27.92
93.45	3024.93	23.4
93.5	3026.53	20.38
93.55	3028.14	20.38
93.6	3029.75	24.4
93.65	3031.36	26.92
93.7	3032.97	29.43
93.75	3034.58	32.45
93.8	3036.19	37.47
93.85	3037.8	39.99
93.9	3039.41	42
93.95	3042.63	40.99
94.05	3044.24	33.95
94.1	3045.85	29.43
94.15	3047.45	24.4
94.2	3049.07	18.87
94.25	3050.68	16.86
94.3	3052.29	18.87
94.35	3053.9	22.39
94.4	3055.51	27.42
94.45	3057.12	32.95
94.5	3058.72	35.46
94.55	3060.34	41.49
94.6	3061.94	43.5
94.65	3063.74	48.03
94.7	3065.93	51.04
94.75	3068.17	44.51
94.8	3070.42	37.98
94.85	3072.66	28.42
94.9	3074.91	22.39
94.95	3077.15	21.39
95	3079.4	22.39
95.05	3081.64	25.41
95.1	3083.88	27.42
95.15	3086.13	27.92
95.2	3087.74	26.41
95.25	3089.13	27.42
95.3	3090.52	25.91
95.35	3091.91	25.41
95.4	3093.3	25.41
95.45	3096.08	22.9
95.55	3097.47	14.35
95.6	3098.87	13.85
95.65	3100.25	15.36
95.7	3101.64	15.36
95.75	3103.04	17.87
95.8	3104.42	18.87
95.85	3105.82	20.88
95.9	3107.2	22.39
95.95	3108.59	24.91
96	3109.99	26.41
96.05	3111.37	28.42
96.1	3112.77	29.93
96.15	3114.24	27.92
96.2	3115.78	27.42
96.25	3117.33	27.42
96.3	3118.87	26.92
96.35	3120.42	25.41
96.4	3121.96	21.89
96.45	3123.51	22.9
96.5	3125.05	19.88
96.55	3126.6	18.37
96.6	3128.15	19.38
96.65	3129.69	20.38
96.7	3131.24	21.39
96.75	3132.78	22.9
96.8	3134.33	24.4
96.85	3135.87	26.41
96.9	3137.41	27.42
96.95	3140.74	27.42
97.05	3142.45	27.92
97.1	3144.14	28.93
97.15	3145.84	26.41
97.2	3147.54	24.91
97.25	3149.24	20.88
97.3	3150.94	19.88
97.35	3152.64	21.39
97.4	3154.33	21.39
97.45	3156.04	24.4
97.5	3157.73	27.92
97.55	3159.44	29.43
97.6	3161.66	33.45
97.65	3164.05	35.46
97.7	3166.43	29.93
97.75	3168.81	24.4
97.8	3171.2	21.39
97.85	3173.58	18.87
97.9	3175.97	19.88
97.95	3178.44	23.4
98	3181.15	22.39
98.05	3183.83	19.38
98.1	3186.52	16.86
98.15	3189.65	15.86
98.2	3192.98	13.85
98.25	3196.34	13.85
98.3	3199.67	14.35
98.35	3203.01	14.35
98.4	3206.36	13.85
98.45	3209.7	13.85
98.5	3213.06	12.34
98.55	3216.39	12.84
98.6	3219.73	12.84
98.65	3223.08	13.85
98.7	3226.42	12.34
98.75	3233.11	13.35
98.85	3236.47	13.85
98.9	3239.8	15.36
98.95	3243.14	17.87
99	3246.49	17.37
99.05	3249.83	18.87
99.1	3253.19	20.88
99.15	3256.52	21.89
99.2	3259.88	19.88
99.25	3263.21	18.37
99.3	3266.55	19.88
99.35	3269.91	18.37
99.4	3273.24	19.88
99.45	3276.6	21.89
99.5	3279.93	22.9
99.55	3283.27	23.4
99.6	3286.62	23.4
99.65	3289.96	23.9
99.7	3293.32	21.39
99.75	3296.65	14.85
99.8	3299.99	14.85
99.85	3303.34	16.86
99.9	3306.68	18.37
99.95	3310.03	20.38
100	3313.37	22.39
100.05	3316.73	23.4
100.1	3320.06	21.89
100.15	3323.4	21.39
100.2	3326.75	21.89
100.25	3333.45	20.88
100.35	3336.78	23.4
100.4	3340.12	24.4
100.45	3343.47	22.9
100.5	3346.81	22.9
100.55	3350.16	21.89
100.6	3353.5	22.9
100.65	3356.86	20.88
100.7	3360.19	19.38
100.75	3361.96	19.88
100.8	3363.64	20.38
100.85	3365.31	20.88
100.9	3366.99	23.9
100.95	3368.66	26.92
101	3370.34	28.42
101.05	3372.01	28.93
101.1	3373.69	29.43
101.15	3375.37	27.42
101.2	3377.04	23.9
101.25	3378.72	20.88
101.3	3380.39	18.87
101.35	3382.06	20.88
101.4	3383.75	19.38
101.45	3385.42	20.38
101.5	3387.1	21.39
101.55	3388.77	21.39
101.6	3390.44	22.39
101.65	3392.12	24.91
101.7	3393.8	26.41
101.75	3395.48	26.92
101.8	3397.15	29.43
101.85	3398.83	27.92
101.9	3400.5	28.93
101.95	3402.17	28.42
102	3403.86	27.42
102.05	3405.53	25.91
102.1	3408.88	23.9
102.2	3410.55	16.86
102.25	3412.66	15.36
102.3	3414.82	16.86
102.35	3416.99	17.87
102.4	3419.15	20.88
102.45	3421.31	28.42
102.5	3423.47	28.93
102.55	3425.04	31.94
102.6	3426.29	31.44
102.65	3427.53	27.42
102.7	3428.79	26.41
102.75	3430.03	24.4
102.8	3431.27	20.88
102.85	3432.52	18.37
102.9	3433.77	13.85
102.95	3435.02	13.35
103	3436.26	13.85
103.05	3437.51	16.36
103.1	3438.76	16.36
103.15	3440	16.86
103.2	3441.25	18.37
103.25	3442.5	19.88
103.3	3443.75	21.39
103.35	3444.99	22.39
103.4	3446.24	23.4
103.45	3447.49	20.88
103.5	3448.73	19.38
103.55	3449.98	18.87
103.6	3452.48	15.86
103.7	3453.72	10.83
103.75	3454.97	11.33
103.8	3456.22	14.85
103.85	3457.46	16.86
103.9	3458.71	18.87
103.95	3459.96	19.88
104	3461.2	21.89
104.05	3462.45	22.39
104.1	3463.7	24.91
104.15	3464.95	24.91
104.2	3466.19	25.91
104.25	3467.44	23.4
104.3	3468.69	20.88
104.35	3469.93	17.37
104.4	3471.18	15.86
104.45	3472.43	14.35
104.5	3473.68	11.84
104.55	3474.92	13.35
104.6	3476.41	12.34
104.65	3477.91	11.84
104.7	3479.4	10.83
104.75	3480.91	11.84
104.8	3482.4	13.85
104.85	3483.91	14.85
104.9	3485.4	14.85
104.95	3486.9	16.36
105	3488.4	16.36
105.05	3489.89	16.86
105.1	3492.89	17.87
105.2	3494.39	18.37
105.25	3495.89	19.88
105.3	3497.39	20.38
105.35	3498.89	20.38
105.4	3500.38	19.88
105.45	3501.89	18.87
105.5	3503.38	20.88
105.55	3504.88	19.38
105.6	3506.38	17.87
105.65	3507.88	16.36
105.7	3509.38	16.36
105.75	3510.87	17.87
105.8	3512.37	18.87
105.85	3513.87	19.88
105.9	3515.37	22.39
105.95	3516.87	23.4
106	3518.37	26.92
106.05	3519.87	27.92
106.1	3521.36	28.93
106.15	3522.86	30.44
106.2	3524.36	26.41
106.25	3525.86	21.39
106.3	3527.36	16.86
106.35	3528.97	15.36
106.4	3530.8	13.35
106.45	3532.63	15.86
106.5	3534.45	16.86
106.55	3536.29	19.38
106.6	3538.11	23.4
106.65	3539.95	26.92
106.7	3541.77	27.92
106.75	3543.59	26.41
106.8	3545.43	24.4
106.85	3547.25	22.9
106.9	3550.91	22.9
107	3552.73	19.88
107.05	3554.57	19.88
107.1	3556.39	21.39
107.15	3558.23	21.39
107.2	3560.05	20.88
107.25	3561.88	20.88
107.3	3563.71	18.87
107.35	3565.53	17.87
107.4	3567.37	14.85
107.45	3568.96	10.33
107.5	3570.48	14.85
107.55	3571.99	15.86
107.6	3573.5	18.37
107.65	3575.02	17.37
107.7	3576.53	17.87
107.75	3578.05	18.87
107.8	3579.56	19.88
107.85	3581.08	19.88
107.9	3582.59	19.38
107.95	3584.1	18.87
108	3585.62	17.37
108.05	3587.13	15.36
108.1	3588.65	13.85
108.15	3590.16	13.85
108.2	3591.67	14.35
108.25	3593.19	14.35
108.3	3594.7	15.86
108.35	3596.22	17.37
108.4	3599.25	18.37
108.5	3600.76	17.37
108.55	3602.27	16.86
108.6	3603.79	15.36
108.65	3605.3	13.85
108.7	3606.72	11.84
108.75	3608.13	11.84
108.8	3609.54	12.84
108.85	3610.96	14.35
108.9	3612.36	14.85
108.95	3613.78	16.36
109	3615.19	19.38
109.05	3616.61	19.38
109.1	3618.02	19.88
109.15	3619.43	19.38
109.2	3620.84	18.87
109.25	3622.25	19.38
109.3	3623.67	18.37
109.35	3625.08	16.36
109.4	3626.49	15.36
109.45	3627.91	15.86
109.5	3629.32	20.38
109.55	3630.73	23.4
109.6	3632.14	24.4
109.65	3633.56	27.42
109.7	3634.97	29.93
109.75	3636.38	28.93
109.8	3637.8	25.91
109.85	3639.21	22.9
109.9	3642.03	21.89
110	3643.44	9.83
110.05	3644.86	9.32
110.1	3646.96	9.83
110.15	3649.09	11.33
110.2	3651.21	12.84
110.25	3653.34	13.85
110.3	3655.46	15.36
110.35	3657.58	16.86
110.4	3659.72	18.37
110.45	3661.84	18.37
110.5	3663.97	18.87
110.55	3666.09	19.38
110.6	3668.21	20.38
110.65	3670.34	22.39
110.7	3672.46	25.91
110.75	3674.59	29.43
110.8	3676.71	28.93
110.85	3678.84	24.91
110.9	3680.96	21.89
110.95	3683.08	17.87
111	3685.21	12.34
111.05	3687.33	9.83
111.1	3689.46	9.83
111.15	3691.59	10.83
111.2	3693.71	13.35
111.25	3695.84	15.36
111.3	3697.96	19.38
111.35	3700.09	31.94
111.4	3704.34	34.46
111.5	3706.46	39.48
111.55	3708.58	38.98
111.6	3710.71	38.98
111.65	3712.23	45.52
111.7	3713.62	41.49
111.75	3715.01	37.98
111.8	3716.39	33.45
111.85	3717.78	31.44
111.9	3719.17	27.42
111.95	3720.56	22.9
112	3721.95	18.37
112.05	3723.34	16.36
112.1	3724.73	19.38
112.15	3726.11	19.88
112.2	3727.5	21.89
112.25	3728.89	26.41
112.3	3730.28	29.43
112.35	3731.67	31.44
112.4	3733.05	31.94
112.45	3734.45	27.92
112.5	3735.83	25.41
112.55	3737.23	22.39
112.6	3738.61	20.38
112.65	3740	18.37
112.7	3741.39	14.35
112.75	3742.78	13.85
112.8	3744.17	15.36
112.85	3745.55	18.37
112.9	3748.33	20.88
113	3749.72	24.4
113.05	3751.11	24.91
113.1	3752.5	25.41
113.15	3754.09	25.91
113.2	3755.7	25.41
113.25	3757.31	24.4
113.3	3758.91	22.9
113.35	3760.51	21.39
113.4	3762.12	20.88
113.45	3763.73	20.38
113.5	3765.34	19.88
113.55	3766.94	19.38
113.6	3768.54	16.86
113.65	3768.58	15.86
113.7	3770.24	15.36
113.75	3771.91	16.36
113.8	3773.58	16.36
113.85	3775.25	18.37
113.9	3776.91	22.9
113.95	3778.58	24.91
114	3780.25	28.42
114.05	3781.91	30.44
114.1	3782.42	30.94
114.15	3784	30.94
114.2	3785.17	28.42
114.25	3786.35	27.92
114.3	3787.51	27.42
114.35	3788.69	26.41
114.4	3791.04	24.91
114.5	3792.21	26.41
114.55	3793.38	23.4
114.6	3794.56	23.4
114.65	3795.73	24.91
114.7	3796.91	26.92
114.75	3798.08	28.42
114.8	3799.25	27.42
114.85	3800.43	26.41
114.9	3801.6	28.42
114.95	3802.77	30.94
115	3804.05	32.45
115.05	3805.78	32.95
115.1	3807.52	32.45
115.15	3809.25	29.43
115.2	3810.98	25.41
115.25	3812.71	23.9
115.3	3814.45	20.88
115.35	3816.18	17.37
115.4	3817.91	23.9
115.45	3819.64	29.43
115.5	3821.38	35.46
115.55	3823.12	39.48
115.6	3824.86	35.46
115.65	3826.97	42.5
115.7	3829.1	46.52
115.75	3831.23	40.99
115.8	3833.36	35.96
115.85	3835.47	23.9
115.9	3839.72	20.38
116	3841.85	27.42
116.05	3843.96	36.97
116.1	3846.09	40.99
116.15	3848.22	40.49
116.2	3850.34	36.47
116.25	3852.47	32.45
116.3	3854.58	22.39
116.35	3856.71	18.37
116.4	3858.84	19.38
116.45	3860.97	24.91
116.5	3863.09	27.92
116.55	3865.21	31.44
116.6	3867.33	33.95
116.65	3869.29	34.46
116.7	3870.93	35.46
116.75	3872.56	32.45
116.8	3874.2	30.44
116.85	3875.84	28.93
116.9	3877.48	27.42
116.95	3879.1	23.4
117	3880.74	29.43
117.05	3882.38	29.43
117.1	3884.02	45.01
117.15	3885.66	32.45
117.2	3887.29	37.47
117.25	3888.93	27.42
117.3	3890.57	24.91
117.35	3892.21	25.41
117.4	3893.84	25.91
117.45	3895.47	27.42
117.5	3897.11	28.93
117.55	3898.75	30.44
117.6	3900.34	29.43
117.65	3901.92	26.92
117.7	3903.51	24.91
117.75	3905.1	16.86
117.8	3906.69	14.35
117.85	3908.27	17.87
117.9	3909.86	25.41
117.95	3911.46	30.44
118	3913.05	40.49
118.05	3914.64	44.01
118.1	3916.22	46.02
118.15	3917.81	47.02
118.2	3919.61	44.01
118.25	3921.41	38.48
118.3	3923.21	34.46
118.35	3926.83	26.92
118.45	3928.63	14.85
118.5	3930.44	16.36
118.55	3932.24	21.89
118.6	3934.05	27.42
118.65	3935.85	31.94
118.7	3937.66	33.95
118.75	3939.46	34.96
118.8	3941.27	31.44
118.85	3943.07	29.43
118.9	3944.88	26.41
118.95	3946.69	24.91
119	3948.49	20.38
119.05	3950.29	17.37
119.1	3952.1	17.37
119.15	3953.91	20.38
119.2	3955.71	23.9
119.25	3957.52	24.4
119.3	3959.52	24.91
119.35	3961.89	25.91
119.4	3964.05	27.42
119.45	3965.99	25.41
119.5	3967.94	21.39
119.55	3983.56	17.37
119.95	3985.52	21.39
120	3987.47	21.89
120.05	3989.43	24.91
120.1	3991.37	26.41
120.15	3993.33	27.42
120.2	3995.28	29.93
120.25	3997.24	27.92
120.3	3999.2	25.41
120.35	4001.14	21.39
120.4	4003.09	19.38
120.45	4005.05	17.87
120.5	4007	20.88
120.55	4008.95	23.9
120.6	4010.9	27.92
120.65	4012.86	28.42
120.7	4014.81	28.42
120.75	4016.76	25.41
120.8	4018.71	19.88
120.85	4020.67	15.86
120.9	4022.62	14.35
120.95	4024.58	14.85
121	4026.52	19.88
121.05	4028.48	23.9
121.1	4030.43	28.93
121.15	4032.39	34.96
121.2	4034.21	35.96
121.25	4035.7	31.94
121.3	4037.19	26.92
121.35	4038.69	28.42
121.4	4040.18	21.39
121.45	4041.66	17.87
121.5	4043.15	18.87
121.55	4044.65	19.38
121.6	4046.14	19.38
121.65	4047.62	21.89
121.7	4049.12	23.9
121.75	4050.61	24.91
121.8	4052.1	23.4
121.85	4053.59	21.39
121.9	4055.08	20.88
121.95	4058.06	18.87
122.05	4059.56	16.86
122.1	4061.04	17.37
122.15	4062.53	18.87
122.2	4064.02	19.88
122.25	4065.52	21.39
122.3	4067.01	22.39
122.35	4068.49	22.39
122.4	4069.99	22.39
122.45	4071.48	24.4
122.5	4072.97	36.97
122.55	4074.45	22.39
122.6	4075.95	21.39
122.65	4077.44	20.88
122.7	4078.93	22.39
122.75	4080.43	21.89
122.8	4081.91	23.4
122.85	4083.4	25.41
122.9	4084.89	28.42
122.95	4086.39	29.43
123	4087.87	29.93
123.05	4089.5	29.93
123.1	4091.19	31.44
123.15	4092.87	30.44
123.2	4094.56	28.93
