Age Ti/Ca_kaBP	KL09_TiCa	Age Hem_kaBP	KL09_Hem	Age MGSQ_kaBP	MGSG		time_kyr	Sanbao sim	MGSQ sim
0.586276	0.016	13.309	0.941	4.17673	0.422675		9.25	1.219	0.385442
0.59389	0.012			4.22046	0.420739		9.375	1.452	0.35191258
0.601504	0.017	38.7118	0.551	4.27654	0.418256		9.5	1.508	0.328364561
0.609118	0.015	39.0817	0.638	4.33357	0.415731		9.625	1.106	0.312067896
0.616732	0.018	39.4516	0.703	4.40106	0.412744		9.75	1.191	0.300985789
0.624347	0.015	39.8215	0.752	4.45429	0.410387		9.875	1.227	0.305827499
0.631961	0.017	40.1914	0.79	4.52463	0.407273		10	1.079	0.33741741
0.639574	0.02	40.5613	0.824	4.59022	0.404369		10.125	1.307	0.385964185
0.647188	0.016	40.9312	0.856	4.64916	0.40176		10.25	1.447	0.424981966
0.654802	0.014	41.3011	0.882	4.729	0.398225		10.375	0.743	0.438168119
0.662416	0.012	41.6709	0.904	4.8174	0.395506		10.5	0.668	0.428642785
0.67003	0.015	42.0408	0.924	4.89725	0.393448		10.625	1.075	0.401567229
0.677645	0.017	42.4107	0.94	4.96854	0.391609		10.75	0.514	0.358250557
0.685258	0.017	42.7806	0.954	5.02177	0.390237		10.875	0.455	0.307744753
0.692872	0.013	43.1505	0.965	5.09307	0.388399		11	0.258	0.263939086
0.700486	0.013	43.5204	0.975	5.13394	0.387345		11.125	0.659	0.231182042
0.7081	0.011	43.8897	0.976	5.16911	0.386438		11.25	0.457	0.203366912
0.715714	0.011	44.2567	0.968	5.22519	0.384992		11.375	0.492	0.174505935
0.723328	0.011	44.6237	0.953	5.27367	0.383742		11.5	0.546	0.148441698
0.730942	0.014	44.9908	0.938	5.34971	0.381781		11.625	-0.112	0.138322104
0.738556	0.014	45.3578	0.933	5.39344	0.380654		11.75	-0.274	0.152284877
0.74617	0.017	45.7249	0.938	5.47329	0.378595		11.875	-0.433	0.181682104
0.753784	0.01	46.0919	0.948	5.53032	0.377124		12	-0.056	0.209538165
0.761398	0.013	46.459	0.956	5.59781	0.375384		12.125	-0.327	0.226869459
0.769012	0.009	46.8261	0.957	5.65104	0.374011		12.25	-0.496	0.235316471
0.776625	0.01	47.193	0.952	5.72138	0.372286		12.375	-0.485	0.239663676
0.78424	0.013	47.5601	0.94	5.78792	0.370894		12.5	-0.727	0.242966422
0.791854	0.014	47.9272	0.922	5.8459	0.369681		12.625	-0.28	0.246266722
0.799468	0.016	48.2942	0.905	5.90769	0.368389		12.75	0.137	0.249346494
